question,answer,qA
"#Q Austria was the first country to sign an armistice in 1918 which led to the end of the World  War I .
",False,"['#Q Austria was the first country to sign an armistice in 1918 which led to the end of the World  War I .\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Loss of life was limited during the 1906 San Francisco earthquake as it occurred shortly after 5:00 pm, so many people were not in their homes.\n']"
"#Q Loss of life was limited during the 1906 San Francisco earthquake as it occurred shortly after 5:00 pm, so many people were not in their homes.
",False,"['#Q Loss of life was limited during the 1906 San Francisco earthquake as it occurred shortly after 5:00 pm, so many people were not in their homes.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q This San Francisco native, who was the Mayor of San Francisco at the time of the 1906 earthquake and fire, was also the first Union Labor mayor in US history.\n']"
"#Q This San Francisco native, who was the Mayor of San Francisco at the time of the 1906 earthquake and fire, was also the first Union Labor mayor in US history.
",Eugene Schmitz,"['#Q This San Francisco native, who was the Mayor of San Francisco at the time of the 1906 earthquake and fire, was also the first Union Labor mayor in US history.\n'
 '^ Eugene Schmitz\n' 'A Jesse Cook\n' 'B Dennis Sullivan\n'
 'C George Pardee\n' 'D Eugene Schmitz\n']"
"#Q The devastating Ham and Eggs Fire of 1906 was started when a skillet of ham and eggs was left burning for at least five hours when a family fled a crumbling building. This fire destroyed the City Hall of San Francisco, since there was no water to put it out.
",True,"['#Q The devastating Ham and Eggs Fire of 1906 was started when a skillet of ham and eggs was left burning for at least five hours when a family fled a crumbling building. This fire destroyed the City Hall of San Francisco, since there was no water to put it out.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q What memorial was dedicated on May 30, 1922?\n']"
"#Q What memorial was dedicated on May 30, 1922?
",Lincoln Memorial,"['#Q What memorial was dedicated on May 30, 1922?\n'
 '^ Lincoln Memorial\n' 'A Lincoln Memorial\n' 'B Washington Monument\n'
 'C Marine Corps Memorial\n' 'D Jefferson Memorial\n']"
"#Q What state became the 32nd state of the Union on May 11, 1858?
",Minnesota,"['#Q What state became the 32nd state of the Union on May 11, 1858?\n'
 '^ Minnesota\n' 'A California\n' 'B Kansas\n' 'C Minnesota\n'
 'D Oregon\n']"
"#Q What blockbuster movie opened on May 25, 1977?
",Star Wars,"['#Q What blockbuster movie opened on May 25, 1977?\n' '^ Star Wars\n'
 'A Star Wars\n' 'B The Godfather\n' 'C The Godfather Part II\n'
 'D Jaws\n']"
"#Q What did Levi Strauss receive a patent for on May 20, 1873?
",Denim Pants with Copper Rivets,"['#Q What did Levi Strauss receive a patent for on May 20, 1873?\n'
 '^ Denim Pants with Copper Rivets\n'
 'A Steam Engine with Coal-Fired Pistons\n'
 'B Ballpoint Pen with Replaceable Cartridges\n'
 'C Denim Pants with Copper Rivets\n'
 'D Sewing Machine with Foot Pedals\n']"
"#Q On May 23, 1934, bank robbers Bonnie Parker and Clyde Barrow were gunned down in this state.
",Louisiana,"['#Q On May 23, 1934, bank robbers Bonnie Parker and Clyde Barrow were gunned down in this state.\n'
 '^ Louisiana\n' 'A Louisiana\n' 'B Oklahoma\n' 'C Texas\n' 'D Kansas\n']"
"#Q On May 14, 1904, the first Olympic Games to be held in the U.S. opened in what city?
",St. Louis,"['#Q On May 14, 1904, the first Olympic Games to be held in the U.S. opened in what city?\n'
 '^ St. Louis\n' 'A St. Louis\n' 'B Chicago\n' 'C Los Angeles\n'
 'D Lake Placid\n']"
"#Q This Yankee legends consecutive game streak of 2,130 came to an end on May 2, 1939.
",Lou Gehrig,"['#Q This Yankee legends consecutive game streak of 2,130 came to an end on May 2, 1939.\n'
 '^ Lou Gehrig\n' 'A Joe Dimaggio\n' 'B Babe Ruth\n' 'C Lou Gehrig\n'
 'D Mickey Mantle\n']"
"#Q England declared war on France on 15 May 1756 starting the Seven Years War which was also known as the French and Indian War in America.
",True,"['#Q England declared war on France on 15 May 1756 starting the Seven Years War which was also known as the French and Indian War in America.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Hong Kong ceded to the British and John F. Kennedy was inaugurated on this day.\n']"
"#Q Hong Kong ceded to the British and John F. Kennedy was inaugurated on this day.
",January 20,"['#Q Hong Kong ceded to the British and John F. Kennedy was inaugurated on this day.\n'
 '^ January 20\n' 'A March 14\n' 'B April 2\n' 'C November 23\n'
 'D January 20\n']"
"#Q Sir Arthur Conan Doyle was born in this year, on May 22.
",1859,"['#Q Sir Arthur Conan Doyle was born in this year, on May 22.\n'
 '^ 1859\n' 'A 1859\n' 'B 1861\n' 'C 1863\n' 'D 1865\n']"
"#Q The U.S. acquired Spanish Florida on the 22th day of this month in 1819.
",February,"['#Q The U.S. acquired Spanish Florida on the 22th day of this month in 1819.\n'
 '^ February\n' 'A June\n' 'B October\n' 'C February\n' 'D April\n']"
"#Q Just one of these events took place on October 13.
",Italy declared war on Germany.,"['#Q Just one of these events took place on October 13.\n'
 '^ Italy declared war on Germany.\n' 'A Italy declared war on Germany.\n'
 'B John Lennon was born.\n' 'C Isaac Singer won the Nobel Prize.\n'
 'D Professional revolutionary Che Guevara was executed in Bolivia.\n']"
"#Q Three of these events took place at the beginning of the year in which they occurred. Which is the odd one?
",Cary Grant died (1986),"['#Q Three of these events took place at the beginning of the year in which they occurred. Which is the odd one?\n'
 '^ Cary Grant died (1986)\n' 'A Apollo 14 departed for the moon (1971)\n'
 'B King George III died (1820)\n'
 'C First McDonalds opened in Soviet Union (1990)\n'
 'D Cary Grant died (1986)\n']"
"#Q Mikhail Gorbachev was picked to succeed Chernenko in this year.
",1985,"['#Q Mikhail Gorbachev was picked to succeed Chernenko in this year.\n'
 '^ 1985\n' 'A 1983\n' 'B 1985\n' 'C 1987\n' 'D 1981\n']"
"#Q Dalai Lama began his exile on March 31, 1950.
",False,"['#Q Dalai Lama began his exile on March 31, 1950.\n' '^ False\n'
 'A False\n' 'B True\n' '\n'
 '#Q The first volume of this novel was published on September 30, 1868.\n']"
"#Q The first volume of this novel was published on September 30, 1868.
",Little Women,"['#Q The first volume of this novel was published on September 30, 1868.\n'
 '^ Little Women\n' 'A The Pickwick Papers\n' 'B Little Women\n'
 'C The Hunchback of Notre-Dame\n' 'D Three Men in a Boat\n']"
"#Q One of these four people was not born on April 1.
",King George II of Greece,"['#Q One of these four people was not born on April 1.\n'
 '^ King George II of Greece\n' 'A Otto von Bismarck\n'
 'B King George II of Greece\n' 'C Abraham Maslow\n' 'D Method Man\n']"
"#Q In this year Cy Young threw the first perfect game in modern baseball history, movie star Cary Grant was born, and Give My Regards to Broadway was initiated in a Broadway theater.
",1904,"['#Q In this year Cy Young threw the first perfect game in modern baseball history, movie star Cary Grant was born, and Give My Regards to Broadway was initiated in a Broadway theater.\n'
 '^ 1904\n' 'A 1908\n' 'B 1904\n' 'C 1906\n' 'D 1900\n']"
"#Q In this year sprinter Jesse Owens was born, the Philadelphia Athletics won the World Series, and Dr. Jekyll and Mr. Hyde came out as a silent film.
",1913,"['#Q In this year sprinter Jesse Owens was born, the Philadelphia Athletics won the World Series, and Dr. Jekyll and Mr. Hyde came out as a silent film.\n'
 '^ 1913\n' 'A 1915\n' 'B 1913\n' 'C 1912\n' 'D 1919\n']"
"#Q In this year George Martin, English producer of The Beatles, was born, Fox Film bought the Movietone system for recording sound onto tape, and Joe Paterno, longtime coach of Pennsylvania State Universitys college football team was born.
",1926,"['#Q In this year George Martin, English producer of The Beatles, was born, Fox Film bought the Movietone system for recording sound onto tape, and Joe Paterno, longtime coach of Pennsylvania State Universitys college football team was born.\n'
 '^ 1926\n' 'A 1926\n' 'B 1929\n' 'C 1923\n' 'D 1927\n']"
"#Q In this year the Dow Jones Industrial Average reached its lowest level of the Great Depression, bottoming out at 41.22, Tarzan the Ape Man opened,and the Winter Olympics were held in Lake Placid, New York.
",1932,"['#Q In this year the Dow Jones Industrial Average reached its lowest level of the Great Depression, bottoming out at 41.22, Tarzan the Ape Man opened,and the Winter Olympics were held in Lake Placid, New York.\n'
 '^ 1932\n' 'A 1936\n' 'B 1937\n' 'C 1932\n' 'D 1931\n']"
"#Q In this year Casablanca premiered at the Hollywood Theater in New York City, Paul McCartney was born, and the St. Louis Cardinals beat the New York Yankees in the World Series.
",1942,"['#Q In this year Casablanca premiered at the Hollywood Theater in New York City, Paul McCartney was born, and the St. Louis Cardinals beat the New York Yankees in the World Series.\n'
 '^ 1942\n' 'A 1942\n' 'B 1946\n' 'C 1940\n' 'D 1944\n']"
"#Q In this year Elvis Presley appeared on the Ed Sullivan show for the third time, the Brooklyn Dodgers moved to L.A., and The Bridge on the River Kwai was released.
",1957,"['#Q In this year Elvis Presley appeared on the Ed Sullivan show for the third time, the Brooklyn Dodgers moved to L.A., and The Bridge on the River Kwai was released.\n'
 '^ 1957\n' 'A 1957\n' 'B 19951\n' 'C 1954\n' 'D 1955\n']"
"#Q In this year the New York Jets of the American Football League beat the favored Baltimore Colts of the National Football League 16-7 in Super Bowl III, Butch Cassidy and the Sundance Kid came out, and Stevie Wonder came out with I Dont Know Why.
",1969,"['#Q In this year the New York Jets of the American Football League beat the favored Baltimore Colts of the National Football League 16-7 in Super Bowl III, Butch Cassidy and the Sundance Kid came out, and Stevie Wonder came out with I Dont Know Why.\n'
 '^ 1969\n' 'A 1969\n' 'B 1967\n' 'C 1966\n' 'D 1968\n']"
"#Q In this year Notre Dame beat UCLA 71-70 in mens college basketball ending the Bruins 88-game winning streak, The Way We Were by Barbra Streisand was the number 1 song, and The Godfather II came out.
",1974,"['#Q In this year Notre Dame beat UCLA 71-70 in mens college basketball ending the Bruins 88-game winning streak, The Way We Were by Barbra Streisand was the number 1 song, and The Godfather II came out.\n'
 '^ 1974\n' 'A 1970\n' 'B 1974\n' 'C 1972\n' 'D 1973\n']"
"#Q In this year the U.S.A. upset the Soviet Union in Olympic hockey, Call Me by Blondie was the #1 song, and Star Wars: Episode V - The Empire Strikes Back came out.
",1980,"['#Q In this year the U.S.A. upset the Soviet Union in Olympic hockey, Call Me by Blondie was the #1 song, and Star Wars: Episode V - The Empire Strikes Back came out.\n'
 '^ 1980\n' 'A 1983\n' 'B 1986\n' 'C 1980\n' 'D 1982\n']"
"#Q In this year the Green Bay Packers won the Super Bowl, Foolish Games/You Were Meant for Me by Jewel was the number 2 song, and the movie Titanic came out.
",1997,"['#Q In this year the Green Bay Packers won the Super Bowl, Foolish Games/You Were Meant for Me by Jewel was the number 2 song, and the movie Titanic came out.\n'
 '^ 1997\n' 'A 1992\n' 'B 1999\n' 'C 1995\n' 'D 1997\n']"
"#Q In what month are the World Health Day and Buddhas Birthday celebrated?
",April,"['#Q In what month are the World Health Day and Buddhas Birthday celebrated?\n'
 '^ April\n' 'A June\n' 'B February\n' 'C September\n' 'D April\n']"
"#Q Patriot Day is celebrated in this month in the USA, in memory of the casualties in the September 11 attacks.
",September,"['#Q Patriot Day is celebrated in this month in the USA, in memory of the casualties in the September 11 attacks.\n'
 '^ September\n' 'A November\n' 'B August\n' 'C September\n' 'D October\n']"
"#Q In this month Martin Luther King, Jr. Day is celebrated in the United States and Australia Day is celebrated in Australia.
",January,"['#Q In this month Martin Luther King, Jr. Day is celebrated in the United States and Australia Day is celebrated in Australia.\n'
 '^ January\n' 'A December\n' 'B November\n' 'C February\n' 'D January\n']"
"#Q This is the World Blindness Awareness Month, and Halloween is celebrated on its last day. It is also called Red because of the Russian revolution of 1917.
",October,"['#Q This is the World Blindness Awareness Month, and Halloween is celebrated on its last day. It is also called Red because of the Russian revolution of 1917.\n'
 '^ October\n' 'A October\n' 'B June\n' 'C November\n' 'D February\n']"
"#Q In this month, Julius Caesar was killed, and International Womens Day and Saint Patricks Day are celebrated.
",March,"['#Q In this month, Julius Caesar was killed, and International Womens Day and Saint Patricks Day are celebrated.\n'
 '^ March\n' 'A August\n' 'B April\n' 'C June\n' 'D March\n']"
"#Q In this month the USA celebrates its Independence Day.
",July,"['#Q In this month the USA celebrates its Independence Day.\n' '^ July\n'
 'A October\n' 'B June\n' 'C April\n' 'D July\n']"
"#Q Napoleon Bonaparte was born in this month, which marks the official end of the Second World War.
",August,"['#Q Napoleon Bonaparte was born in this month, which marks the official end of the Second World War.\n'
 '^ August\n' 'A February\n' 'B June\n' 'C May\n' 'D August\n']"
"#Q Valentines Day is celebrated in this month, which is also Black History Month in Canada and the United States.
",February,"['#Q Valentines Day is celebrated in this month, which is also Black History Month in Canada and the United States.\n'
 '^ February\n' 'A February\n' 'B March\n' 'C July\n' 'D May\n']"
"#Q In many countries Labor Day is observed in this month, which is also dedicated to the Blessed Virgin Mary in Roman Catholic tradition.
",May,"['#Q In many countries Labor Day is observed in this month, which is also dedicated to the Blessed Virgin Mary in Roman Catholic tradition.\n'
 '^ May\n' 'A March\n' 'B May\n' 'C April\n' 'D October\n']"
"#Q Thermopylae, the site of the historic Battle of Thermopylae, was what type of area?
",It was a narrow pass,"['#Q Thermopylae, the site of the historic Battle of Thermopylae, was what type of area?\n'
 '^ It was a narrow pass\n' 'A It was a narrow pass\n'
 'B It was heavily forested\n' 'C It was a hilltop\n'
 'D It was a wide open plain\n']"
"#Q Which of these statements is true about the Battle of Artemisium?
",It was the naval battle that  took place at Thermopylae,"['#Q Which of these statements is true about the Battle of Artemisium?\n'
 '^ It was the naval battle that  took place at Thermopylae\n'
 'A It was the battle where king Darius was defeated\n'
 'B It was the final naval battle that destroyed the Greek fleet\n'
 'C It was the battle before the sacking of Athens\n'
 'D It was the naval battle that  took place at Thermopylae\n']"
"#Q In the historic Battle of Thermopylae, who is Ephialtes?
",A greek traitor,"['#Q In the historic Battle of Thermopylae, who is Ephialtes?\n'
 '^ A greek traitor\n' 'A A greek hero\n' 'B A persian hero\n'
 'C A greek traitor\n' 'D A persian traitor\n']"
"#Q When was this headline breaking news:
",Two people found murdered outside a condominium on South Bundy Drive in the Brentwood area of Los Angeles.?,"['#Q When was this headline breaking news:\n'
 'Two people found murdered outside a condominium on South Bundy Drive in the Brentwood area of Los Angeles.?\n'
 '^ June 13, 1994\n' 'A June 13, 1994\n' 'B May 10, 1994\n'
 'C May 13, 1994\n']"
"#Q Who created the concept of the Dark Ages in the 1330s?
",Petrarch,"['#Q Who created the concept of the Dark Ages in the 1330s?\n'
 '^ Petrarch\n' 'A Johan Huizinga\n' 'B Dorothy Sayers\n' 'C Petrarch\n'
 'D Flavio Biondo\n']"
"#Q What Renaissance humanist historian coined the term Middle Age?
",Flavio Biondo,"['#Q What Renaissance humanist historian coined the term Middle Age?\n'
 '^ Flavio Biondo\n' 'A Leonardo Bruni\n' 'B Dante\n' 'C Flavio Biondo\n'
 'D Petrarch\n']"
"#Q When did the West Roman Empire cease to exist?
",476 AD,"['#Q When did the West Roman Empire cease to exist?\n' '^ 476 AD\n'
 'A 506 AD\n' 'B 458 AD\n' 'C 413 AD\n' 'D 476 AD\n']"
"#Q Which of these was the legal successor to the classical Roman Empire?
",The Eastern Roman Empire,"['#Q Which of these was the legal successor to the classical Roman Empire?\n'
 '^ The Eastern Roman Empire\n' 'A The Western Roman Empire\n'
 'B Greece\n' 'C The Eastern Roman Empire\n' 'D Italy\n']"
"#Q What was the language of science in the ancient world?
",Greek,"['#Q What was the language of science in the ancient world?\n' '^ Greek\n'
 'A Sumerian\n' 'B Egyptian\n' 'C Latin\n' 'D Greek\n']"
"#Q What period in the Middle Ages marked a renewed interest in Classical Antiquity?
",800 AD,"['#Q What period in the Middle Ages marked a renewed interest in Classical Antiquity?\n'
 '^ 800 AD\n' 'A 900 AD\n' 'B 800 AD\n' 'C 1000 AD\n' 'D 700 AD\n']"
"#Q When did the Christianisation of Germanic tribes begin?
",in the 4th century,"['#Q When did the Christianisation of Germanic tribes begin?\n'
 '^ in the 4th century\n' 'A in the 5th century\n'
 'B in the 4th century\n' 'C in the 7th century\n'
 'D in the 6th century\n']"
"#Q When did the great migration of the Slavs begin?
",in the 7th century,"['#Q When did the great migration of the Slavs begin?\n'
 '^ in the 7th century\n' 'A in the 7th century\n'
 'B in the 9th century\n' 'C in the 8th century\n'
 'D in the 10th century\n']"
"#Q When did Boniface III, the first Bishop of Rome, begin to bear the title Pope?
",607 AD,"['#Q When did Boniface III, the first Bishop of Rome, begin to bear the title Pope?\n'
 '^ 607 AD\n' 'A 599 AD\n' 'B 617 AD\n' 'C 601 AD\n' 'D 607 AD\n']"
"#Q When did a pandemic, known as the Plague of Justinian, afflict the Byzantine Empire?
",541-542 AD,"['#Q When did a pandemic, known as the Plague of Justinian, afflict the Byzantine Empire?\n'
 '^ 541-542 AD\n' 'A 548-549 AD\n' 'B 527-528 AD\n' 'C 535-536 AD\n'
 'D 541-542 AD\n']"
"#Q What does the term â€œPaleozoicâ€� mean?
",Ancient life,"['#Q What does the term â€œPaleozoicâ€� mean?\n' '^ Ancient life\n'
 'A Recent life\n' 'B Middle life\n' 'C Ancient life\n'
 'D Age of ancient life\n']"
"#Q What term refers to the raise in biodiversity that occurred during the early Paleozoic era?
",Cambrian Explosion,"['#Q What term refers to the raise in biodiversity that occurred during the early Paleozoic era?\n'
 '^ Cambrian Explosion\n' 'A Biodiversity Boom\n' 'B None of these\n'
 'C Mass radiation of life\n' 'D Cambrian Explosion\n']"
"#Q Which of the following is not a period of the Paleozoic era?
",Paleogene,"['#Q Which of the following is not a period of the Paleozoic era?\n'
 '^ Paleogene\n' 'A Silurian\n' 'B Permian\n' 'C Cambrian\n'
 'D Paleogene\n']"
"#Q The atmospheric oxygen content during the late Paleozoic era was greater than that of today.
",True,"['#Q The atmospheric oxygen content during the late Paleozoic era was greater than that of today.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q Which animal is often used as an index fossil for identifying Paleozoic strata?\n']"
"#Q Which animal is often used as an index fossil for identifying Paleozoic strata?
",Trilobite,"['#Q Which animal is often used as an index fossil for identifying Paleozoic strata?\n'
 '^ Trilobite\n' 'A Dimetrodon\n' 'B None of the above\n' 'C Dinosaur\n'
 'D Trilobite\n']"
"#Q The oldest confirmed fossil of a reptile belonged to what animal?
",Hylonomus,"['#Q The oldest confirmed fossil of a reptile belonged to what animal?\n'
 '^ Hylonomus\n' 'A Dimetrodon\n' 'B Westlothiana\n' 'C Petrolacosaurus\n'
 'D Hylonomus\n']"
"#Q The first terrestrial plants evolved during the Silurian period. Which of the following is an example of these primitive floras?
",Cooksonia,"['#Q The first terrestrial plants evolved during the Silurian period. Which of the following is an example of these primitive floras?\n'
 '^ Cooksonia\n' 'A None of these\n' 'B Cooksonia\n' 'C Archaeopteris\n'
 'D Lepidodendron\n']"
"#Q Mammal like reptiles were common by the end of the Paleozoic.
",True,"['#Q Mammal like reptiles were common by the end of the Paleozoic.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q What event signaled the end of the Paleozoic?\n']"
"#Q What event signaled the end of the Paleozoic?
",A large mass extinction at the end of the Permian period,"['#Q What event signaled the end of the Paleozoic?\n'
 '^ A large mass extinction at the end of the Permian period\n'
 'A The evolution of the dinosaurs\n' 'B None of these\n'
 'C The evolution of humans\n'
 'D A large mass extinction at the end of the Permian period\n']"
"#Q In which country did the name Gustav originate?
",Sweden,"['#Q In which country did the name Gustav originate?\n' '^ Sweden\n'
 'A Norway\n' 'B Sweden\n' 'C Finland\n' 'D Denmark\n']"
"#Q Which ancient nation is the name Gustav related to?
",Goths,"['#Q Which ancient nation is the name Gustav related to?\n' '^ Goths\n'
 'A Huns\n' 'B Scythians\n' 'C Goths\n' 'D Vikings\n']"
"#Q Gustav has been a common name for Swedish monarchs since the reign of Gustav Vasa or Gustav I.  
","He became king in 1521, after leading the rebellion against King Christian II of this country who controlled most of the Sweden.","['#Q Gustav has been a common name for Swedish monarchs since the reign of Gustav Vasa or Gustav I.  \n'
 'He became king in 1521, after leading the rebellion against King Christian II of this country who controlled most of the Sweden.\n'
 '^ Denmark\n' 'A England\n' 'B Spain\n' 'C Denmark\n']"
"#Q This Swedish city was founded by Gustav II Adolf, who was known by the Latinized name Gustavus Adolphus and was King of Sweden from 1611 until his death.
",Goteborg,"['#Q This Swedish city was founded by Gustav II Adolf, who was known by the Latinized name Gustavus Adolphus and was King of Sweden from 1611 until his death.\n'
 '^ Goteborg\n' 'A Stockholm\n' 'B Goteborg\n' 'C Malmo\n' 'D Lund\n']"
"#Q Charles X Gustav (Karl X Gustaf) was a descendant of the House of Palatinate-ZweibrÃ¼cken. On July 10, 1655, he left Sweden to engage in the Second  Northern War (1655-1660) which started with the occupation of DÃ¼naburg by the Swedes on July 1, 1655. Eventually his armies occupied most of this European country.
",Poland,"['#Q Charles X Gustav (Karl X Gustaf) was a descendant of the House of Palatinate-ZweibrÃ¼cken. On July 10, 1655, he left Sweden to engage in the Second  Northern War (1655-1660) which started with the occupation of DÃ¼naburg by the Swedes on July 1, 1655. Eventually his armies occupied most of this European country.\n'
 '^ Poland\n' 'A Prussia\n' 'B Lithuania\n' 'C Russia\n' 'D Poland\n']"
"#Q Gustav III of Sweden, a member of a House of Holstein-Gottorp, was assassinated at a midnight masquerade at the Royal Swedish Opera in Stockholm on March 16, 1792. This became the basis of Eugene Scribes libretto for the opera Un Ballo in Maschera (A Masked Ball). Who composed the opera?
",Giuseppe Verdi,"['#Q Gustav III of Sweden, a member of a House of Holstein-Gottorp, was assassinated at a midnight masquerade at the Royal Swedish Opera in Stockholm on March 16, 1792. This became the basis of Eugene Scribes libretto for the opera Un Ballo in Maschera (A Masked Ball). Who composed the opera?\n'
 '^ Giuseppe Verdi\n' 'A Gioachino Rossini\n' 'B Giuseppe Verdi\n'
 'C Gaetano Donizetti\n' 'D Giacomo Puccinis\n']"
"#Q Gustav IV Adolf of Sweden voluntarily abdicated in the winter of 1808 when Russia invaded Sweden and Denmark declared war. By early 1809 Sweden lost almost a third of the Swedish realm and a quarter of its population to the Russians. The territory which the Russians occupied is in this modern country.
",Finland,"['#Q Gustav IV Adolf of Sweden voluntarily abdicated in the winter of 1808 when Russia invaded Sweden and Denmark declared war. By early 1809 Sweden lost almost a third of the Swedish realm and a quarter of its population to the Russians. The territory which the Russians occupied is in this modern country.\n'
 '^ Finland\n' 'A Finland\n' 'B Latvia\n' 'C Lithuania\n' 'D Poland\n']"
"#Q Gustaf V of Sweden, the last Swedish king to intervene directly in the politics of the country, was also a devoted sportsman, playing in tournaments under the pseudonym Mr G. In 1980, King Gustaf was elected into the International Hall of Fame of this sport.
",Tennis,"['#Q Gustaf V of Sweden, the last Swedish king to intervene directly in the politics of the country, was also a devoted sportsman, playing in tournaments under the pseudonym Mr G. In 1980, King Gustaf was elected into the International Hall of Fame of this sport.\n'
 '^ Tennis\n' 'A Chess\n' 'B Polo\n' 'C Golf\n' 'D Tennis\n']"
"#Q Most of the powers of the Swedish monarchy died with Gustaf VI Adolf who had two major interests in life besides his country: archeology and this science.
",Botany,"['#Q Most of the powers of the Swedish monarchy died with Gustaf VI Adolf who had two major interests in life besides his country: archeology and this science.\n'
 '^ Botany\n' 'A Astronomy\n' 'B Physics\n' 'C Music\n' 'D Botany\n']"
"#Q King Carl XVI Gustaf ascended to the throne on September 15, 1973, after the death of his grandfather, King Gustaf VI Adolf. Carl XVI Gustaf, who is probably best known as the presenter of the Nobel Prizes,
",publicly admitted to suffer from this condition.,"['#Q King Carl XVI Gustaf ascended to the throne on September 15, 1973, after the death of his grandfather, King Gustaf VI Adolf. Carl XVI Gustaf, who is probably best known as the presenter of the Nobel Prizes,\n'
 'publicly admitted to suffer from this condition.\n' '^ Dyslexia\n'
 'A Hemophilia\n' 'B Dyslexia\n' 'C Epilepsy\n']"
"#Q Which of these are not characteristic of Gothic architecture?
",dark or brown walls,"['#Q Which of these are not characteristic of Gothic architecture?\n'
 '^ dark or brown walls\n' 'A dark or brown walls\n' 'B ribbed vaults\n'
 'C flying buttresses\n' 'D pointed arches\n']"
"#Q In which of the following present-day countries was Gothic language spoken?
",Italy,"['#Q In which of the following present-day countries was Gothic language spoken?\n'
 '^ Italy\n' 'A Germany\n' 'B France\n' 'C England\n' 'D Italy\n']"
"#Q Hitler, like several conquerors before him, faced the daunting task of crossing the English Channel and invading Britain. Which of the following was the only conqueror to successfully do this?
",William I of Normandy,"['#Q Hitler, like several conquerors before him, faced the daunting task of crossing the English Channel and invading Britain. Which of the following was the only conqueror to successfully do this?\n'
 '^ William I of Normandy\n' 'A William I of Normandy\n'
 'B Louis XIV of France\n' 'C Napoleon\n'
 'D Philip II and the Spanish Armada\n']"
"#Q The final German goal of the Battle of Britain was a successful invasion of Britain, but before that the Germans had to achieve this intermediate goal.
",Gaining air superiority over the English channel so that a German invasion fleet could cross the channel protected by the German air force.,"['#Q The final German goal of the Battle of Britain was a successful invasion of Britain, but before that the Germans had to achieve this intermediate goal.\n'
 '^ Gaining air superiority over the English channel so that a German invasion fleet could cross the channel protected by the German air force.\n'
 'A Gaining air superiority over the English channel so that a German invasion fleet could cross the channel protected by the German air force.\n'
 'B Destroying the British arms manufacturing industries\n'
 'C Destroying the French underground guerrilla warfare\n'
 'D Defeating the British surface fleet in a great sea battle\n']"
"#Q Never in the field of human conflict has so much been owed by so many to so few.â€™ In this famous quote by Winston Churchill who were the few he was referring to?
",British fighter pilots,"['#Q Never in the field of human conflict has so much been owed by so many to so few.â€™ In this famous quote by Winston Churchill who were the few he was referring to?\n'
 '^ British fighter pilots\n' 'A British military leaders\n'
 'B British fighter pilots\n' 'C British scientists\n'
 'D Anti-German spies in France and Belgium\n']"
"#Q Which of these was an advantage the British had in the Battle of Britain?
",British pilots forced to parachute from damaged planes often landed on friendly territory and could return to action soon afterward.,"['#Q Which of these was an advantage the British had in the Battle of Britain?\n'
 '^ British pilots forced to parachute from damaged planes often landed on friendly territory and could return to action soon afterward.\n'
 'A The British Army was a constant threat to make raids on German supply facilities and bases in France.\n'
 'B The British Navy was able to shoot down many German planes as they flew over the English Channel.\n'
 'C The British had a larger number of fighter planes than the Germans.\n'
 'D British pilots forced to parachute from damaged planes often landed on friendly territory and could return to action soon afterward.\n']"
"#Q Which of these countries fought on the side of Britain during the Battle of Britain?
",Canada,"['#Q Which of these countries fought on the side of Britain during the Battle of Britain?\n'
 '^ Canada\n' 'A Canada\n' 'B The Soviet Union\n' 'C the United States\n'
 'D Belgium\n']"
"#Q How was Catherine the Great of Russia related to Petar III?
",She was his wife.,"['#Q How was Catherine the Great of Russia related to Petar III?\n'
 '^ She was his wife.\n' 'A She was his cousin\n' 'B She was his wife.\n'
 'C She was his daughter\n' 'D She was his sister\n']"
"#Q Franz Joseph I reigned as King of Hungary, King of Bohemia and Emperor of Austria.
",True,"['#Q Franz Joseph I reigned as King of Hungary, King of Bohemia and Emperor of Austria.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q What King of England had his nephews put into the Tower of London?\n']"
"#Q What King of England had his nephews put into the Tower of London?
",Richard III,"['#Q What King of England had his nephews put into the Tower of London?\n'
 '^ Richard III\n' 'A Henry VIII\n' 'B Richard III\n'
 'C William I the Conqueror\n' 'D Eduard IV\n']"
"#Q How were Napoleon Bonaparte and Napoleon III related?
",Uncle and nephew,"['#Q How were Napoleon Bonaparte and Napoleon III related?\n'
 '^ Uncle and nephew\n' 'A They were not related.\n'
 'B Grandfather and grandson\n' 'C Uncle and nephew\n'
 'D Father and son\n']"
"#Q This King of the Franks conquered Italy and was crowned Imperator Augustus on 25 December 800.
",Charles the Great,"['#Q This King of the Franks conquered Italy and was crowned Imperator Augustus on 25 December 800.\n'
 '^ Charles the Great\n' 'A Wilhelm the Great\n' 'B Charles the Great\n'
 'C Constantine the Great\n' 'D Peter the Great\n']"
"#Q What English Queen was daughter of Henry VIII and Anne Boleyn?
",Elizabeth I,"['#Q What English Queen was daughter of Henry VIII and Anne Boleyn?\n'
 '^ Elizabeth I\n' 'A Catherine II\n' 'B Louse Elizabeth\n'
 'C Elizabeth I\n' 'D Anne\n']"
