,Question,Answer,Options,Correct
756,"sachin is younger than rahul by 6 years . if their ages are in the respective ratio of 7 : 9 , how old is sachin ?",34,"a ) 16 , b ) 18 , c ) 28 , d ) 30 , e ) 34",e
757,"in arun ' s opinion , his weight is greater than 64 kg but leas than 72 kg . his brother does not agree with arun and he thinks that arun ' s weight is greater than 60 kg but less than 70 kg . his mother ' s view is that his weight can not be greater than 67 kg . if all of them are correct in their estimation , what is the average of diferent probable weights of arun ?",65.5,"a ) 86.5 kg , b ) 66.5 kg , c ) 46.5 kg , d ) 65.5 kg , e ) 16.5 kg",d
758,"in may , the grounds keeper at spring lake golf club built a circular green with an area of 25 square feet . in august , he doubled the distance from the center of the green to the edge of the green . what is the total area of the renovated green ?",100,"a ) 100 pi , b ) 80 , c ) 70 , d ) 60 , e ) 50",a
759,two trains are moving in opposite directions with speed of 110 km / hr and 90 km / hr respectively . their lengths are 1.10 km and 0.9 km respectively . the slower train cross the faster train in - - - seconds,36,"a ) 26 , b ) 48 , c ) 47 , d ) 36 , e ) 25",d
760,"a , b and c enter into partnership . a invests some money at the beginning , b invests double the amount after 6 months , and c invests thrice the amount after 8 months . if the annual gain be rs . 27000 . a ' s share is ?",9000,"a ) 9000 , b ) 2778 , c ) 6000 , d ) 2889 , e ) 6612",a
761,a man swims downstream 120 km and upstream 50 km taking 5 hours each time ; what is the speed of the current ?,7,"a ) 3 kmph , b ) 7 kmph , c ) 13 kmph , d ) 6.5 kmph , e ) 7 : 3 kmph",b
762,"pat , kate and mark charged a total of 198 hours to a certain project . if pat charged twice as much time to the project as kate and 1 / 3 as much times as mark , how many more hours did mark charge to the project than kate .",110,"a ) 18 , b ) 36 , c ) 72 , d ) 110 , e ) 108",d
763,"in the junior basketball league there are 18 teams , 1 / 3 of them are bad and ½ are rich . what ca n ' t be the number of teams that are rich and bad ?",10,"a ) 4 . , b ) 6 . , c ) 7 . , d ) 8 . , e ) 10 .",e
764,"what is the cp of rs 100 stock at 7 discount , with 1 / 5 % brokerage ?",93.2,"a ) 93.9 , b ) 96.3 , c ) 93.2 , d ) 96.7 , e ) 96.21",c
765,"right triangle pqr is the base of the prism in the figure above . if pq = pr = â ˆ š 14 and the height of the prism is 8 , what is the volume of the prism ?",56,"a ) 12 , b ) 45 , c ) 87 , d ) 56 , e ) 23",d
766,"a city with a population of 97,500 is to be divided into 6 voting districts , and no district is to have a population that is more than 10 percent greater than the population of any other district . what is the minimum possible population that the least populated district could have ?",15,"a ) 15,000 , b ) 15,500 , c ) 16,000 , d ) 16,500 , e ) 17,000",a
767,"find the c . i . on a sum of rs . 1800 for 6 months at 20 % per annum , interest being compounded quarterly ?",8920,"a ) 792 , b ) 892 , c ) 8920 , d ) 802 , e ) 9920",c
768,"in a recent election , james received 15 percent of the 10000 votes cast . to win the election , a candidate needed to receive more than 51 percent of the vote . how many additional votes would james have needed to win the election ?",3601,"a ) 1004 , b ) 1000 , c ) 3600 , d ) 1201 , e ) 3601",e
769,how many 5 digit ( digit = 0 - 9 ) zip codes can exist in which at least one digit is repeated ?,69760,"a ) 39760 , b ) 49760 , c ) 59760 , d ) 69760 , e ) 70000",d
770,a train 400 m long is running at a speed of 54 km / hr . if it crosses a tunnel in 2 minutes . then what is the length of tunnel ?,1400,"a ) 1200 m , b ) 1400 m , c ) 1600 m , d ) 1800 m , e ) 2200 m",b
771,"if i walk at 3 km / h , i miss the bus by 12 minutes . if i walk at 6 km / h , i reach 10 minutes before the arrival of the bus . how far i walk to reach the bus stand ?",2.19,"a ) 2.19 km , b ) 2.22 km , c ) 2.00 km , d ) 1.19 km , e ) 1.99 km",a
772,"g ( x ) is defined as the product of all even integers k such that 0 < k ≤ x . for example , g ( 14 ) = 2 × 4 × 6 × 8 × 10 × 12 × 14 . if g ( e ) is divisible by 4 ^ 11 , what is the smallest possible value for e ?",24,"a ) 22 , b ) 24 , c ) 28 , d ) 32 , e ) 44",b
773,"the ratio of boarders to day students at a school was originally 5 to 12 . however , after a number of new boarders join the initial 220 boarders , the ratio changed to 1 to 2 . if no boarders became day students and vice versa , and no students left the school , how many new boarders joined the school ?",44,"a ) 44 , b ) 64 , c ) 70 , d ) 80 , e ) 84",a
774,recipe requires 15 mins to cook . you have 7 mins hourglass and a 11 mins hourglass with you . how will you measure 15 mins using them ?,15,"a ) 15 mins , b ) 12 mins , c ) 13 mins , d ) 17 mins , e ) 20 mins",a
775,what will be the result of 7 ^ 8 - 6 / 2 + 9 ^ 3 + 3 + 12 ?,95,"a ) 95 , b ) 64 , c ) 1012 , d ) 9 , e ) 0",a
776,erik ' s mother gave him $ 86 to go to the store . erik bought 3 loaves of bread and 3 cartons of orange juice . each loaf of bread cost $ 3 and each carton of orange juice cost $ 6 . how much money does erik have left ?,59,"a ) $ 24 , b ) $ 27 , c ) $ 59 , d ) $ 75 , e ) $ 35",c
777,"the value of a machine depreciates at 22 % per annum . if its present value is $ 1 , 50,000 , at what price should it be sold after two years such that a profit of $ 24,000 is made ?",115260,"a ) $ 255260 , b ) $ 435260 , c ) $ 125260 , d ) $ 115260 , e ) $ 155260",d
778,"a team won 50 percent of its first 60 games in a particular season , and 80 percent of its remaining games . if the team won a total of 65 percent of its games that season , what was the total number of games that the team played ?",120,"a ) 180 , b ) 120 , c ) 90 , d ) 85 , e ) 70",b
779,"in a class of 210 students , 70 did not opt for math . 55 did not opt for science and 42 did not opt for either . how many students of the class opted for both math and science ?",127,"a ) 123 , b ) 125 , c ) 127 , d ) 137 , e ) 148",c
780,"12 welders work at a constant rate they complete an order in 8 days . if after the first day , 9 welders start to work on the other project , how many more days the remaining welders will need to complete the rest of the order ?",28,"a ) 5 , b ) 12 , c ) 18 , d ) 24 , e ) 28",e
781,"the sum of the even numbers between 1 and n is 81 * 82 , where n is an odd number , then n = ?",163,"a ) 163 , b ) 171 , c ) 177 , d ) 185 , e ) 193",a
782,"saleem bought 4 baskets with the average cost of $ 4 . if saleem also buys the fifth basket with the price of $ 8 , what is the average ( arithmetic mean ) price of those 5 baskets ?",4.80,"a ) $ 4.50 , b ) $ 6.00 , c ) $ 4.00 , d ) $ 5.50 , e ) $ 4.80",e
783,when n is divided by 5 the remainder is 3 . what is the remainder when n ^ 2 is divided by 5 ?,4,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",e
784,a rectangular swimming pool is 20 feet by 28 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 884 square feet . what is the width of the deck ?,3,"a ) 2 feet , b ) 2.5 feet , c ) 3 feet , d ) 4 feet , e ) 5 feet",c
785,"in a covering a distance of 30 km , abhay takes 2 hours more than sameer . if abhay double his speed , then he would take 1 hour less than sammer . abhay ' s speed is ?",5,"a ) 5 km / hr , b ) 1 km / hr , c ) 6 km / hr , d ) 3 km / hr , e ) 7 km / hr",a
786,"a sum was put at simple interest at a certain rate for 9 years had it been put at 5 % higher rate , it would have fetched 1350 more . find the sum .",3000,"a ) 3000 , b ) 3100 , c ) 3200 , d ) 3300 , e ) 3400",a
787,"three table runners have a combined area of 224 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",30,"a ) 18 square inches , b ) 20 square inches , c ) 24 square inches , d ) 28 square inches , e ) 30 square inches",e
788,the sum of two consecutive integers is 21 . find the numbers .,7,"a ) 17 , 18 , b ) 7 , 8 , c ) 10 , 11 , d ) 1 , 2 , e ) 8 , 9",c
789,"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill the tank in 35 minutes , then the slower pipe alone will be able to fill the tank in",140,"a ) 144 mins , b ) 140 mins , c ) 136 mins , d ) 132 minw , e ) none of these",b
790,"if k is a non - negative integer and 15 ^ k is a divisor of 823,435 then 5 ^ k - k ^ 5 =",1,"a ) 0 , b ) 1 , c ) 35 , d ) 120 , e ) 245",b
791,p alone can complete a job in 5 days . the work done by q alone in one day is equal to one - fourth of the work done by p alone in one day . in how many days can the work be completed if p and q work together ?,4.0,"a ) 2.5 , b ) 3.0 , c ) 3.5 , d ) 4.0 , e ) 4.5",d
792,"the number of the members of a club is more than 10 and less than 40 . when 3 people sit at a table , other people exactly divided to 6 - people groups ( 6 people sit at a table ) or 5 - people groups ( 5 people sit at a table ) . if the members are divided to 7 - people groups , how many people will be left ?",5,"a ) 0 . , b ) 1 . , c ) 2 . , d ) 4 . , e ) 5 .",e
793,"find the number , difference between number and its 3 / 5 is 64 .",160,"a ) 160 , b ) 163 , c ) 164 , d ) 165 , e ) 166",a
794,convert the 8 / 36 m / s into kilometers per hour ?,0.8,"a ) 0.8 kmph , b ) 9.9 kmph , c ) 1.3 kmph , d ) 1.2 kmph , e ) 5.7 kmph",a
795,the mean proportional between 234 and 104 is :,156,"a ) 12 , b ) 39 , c ) 54 , d ) 64 , e ) 156",e
796,"x and y are two towns . ganesh covers the distance from x to y at an average speed of 43 km / hr . however , he covers the distance from y to x at an average speed of 35 km / hr . his average speed during the whole journey in km / hr . is :",38.6,"a ) 34 , b ) 43 , c ) 40 , d ) 38.6 , e ) 29",d
797,"what is the lowest positive integer that is divisible by each of the integers 1 through 8 , inclusive ?",840,"a ) 420 , b ) 560 , c ) 840 , d ) 960 , e ) 1080",c
798,"a man walks west 10 miles , then turns right towards north and walks another 10 miles . how far is he from the place he started walking .",14.14,"a ) 11.11 , b ) 10 , c ) 14.14 , d ) 16.15 , e ) 1",c
799,"a certain car uses 12 gallons of gasoline in traveling 300 miles . in order for the car to travel the same distance using 10 gallons of gasoline , by how many miles per gallon must the car ’ s gas mileage be increased ?",5,"a ) 2 , b ) 4 , c ) 5 , d ) 8 , e ) 10",c
800,a 300 m long train crosses a platform in 30 sec while it crosses a signal pole in 18 sec . what is the length of the platform ?,200,"a ) 286 m , b ) 350 m , c ) 200 m , d ) 278 m , e ) 267 m",c
801,a train 110 m long is running with a speed of 65 km / hr . in what time will it pass a man who is running at 7 km / hr in the direction opposite to that in which the train is going ?,5.5,"a ) 5 , b ) 6 , c ) 4 , d ) 8.2 , e ) 5.5",e
802,"the radius of a cylinder is 8 m , height 13 m . the volume of the cylinder is :",2614.9,"a ) 2200 , b ) 2614.9 , c ) 3300 , d ) 1100 , e ) 4400",b
803,ashok and pyarelal invested money together in a business and share a capital of ashok is 1 / 9 of that of pyarelal . if the incur a loss of rs 900 then loss of pyarelal ?,810,"a ) 610 , b ) 710 , c ) 810 , d ) 900 , e ) 1000",c
804,at what rate percent on simple interest will rs . 750 amount to rs . 975 in 5 years ?,6,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6",e
805,"at a certain bowling alley , it costs $ 0.50 to rent bowling shoes for the day and $ 1.5 to bowl 1 game . if a person has $ 12.80 and must rent shoes , what is the greatest number of complete games that person can bowl in one day ?",8,"a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",b
806,tough and tricky questions : number properties . what is the smallest positive integer x such that 1512 x is the cube of a positive integer ?,49,"a ) 7 , b ) 14 , c ) 28 , d ) 35 , e ) 49",e
807,"4 mat - weavers can weave 4 mats in 4 days . at the same rate , how many mats would be woven by 8 mat - weavers in 8 days ?",16,"a ) 4 , b ) 16 , c ) 8 , d ) 1 , e ) 2",b
808,"if x + y = - 4 , and x = 6 / y , what is the value of x ^ 2 + y ^ 2 ?",4,"a ) 10 , b ) 15 , c ) 6 , d ) 4 , e ) 5",d
809,the profit obtained by selling an article for rs . 66 is the same as the loss obtained by selling it for rs . 22 . what is the cost price of the article ?,44,"a ) rs . 40 , b ) rs . 50 , c ) rs . 49 , d ) rs . 59 , e ) rs . 44",e
810,"an amount of money is to be divided between p , q and r in the ratio of 3 : 7 : 12 . if the difference between the shares of p and q is rs . 2400 , what will be the difference between q and r ' s share ?",3000,"a ) 1266 , b ) 3000 , c ) 2866 , d ) 2999 , e ) 2678",b
811,a car ferry can hold up to 60 tons of cargo . what is the greatest number of vehicles that the ferry can carry if half the vehicles are cars with an average ( arithmetic mean ) weight of 0.75 tons and half of the vehicles are trucks with an average ( arithmetic mean ) weight of 4 tons ?,24,"a ) 12 , b ) 16 , c ) 20 , d ) 24 , e ) 28",d
812,if difference between compound interest and simple interest on a sum at 10 % p . a . for 2 years is rs . 65 then sum is,6500,"a ) s . 5000 , b ) s . 6500 , c ) s . 5800 , d ) s . 6000 , e ) s . 6200",b
813,find the value of ( √ 1.21 ) / ( √ 0.81 ) + ( √ 0.81 ) / ( √ 0.49 ) is,2.5,"a ) 195 / 63 , b ) 2.5 , c ) 155 / 63 , d ) 125 / 63 , e ) 185 / 63",b
814,"a and b began business with rs . 6000 and rs . 4000 after 8 months , a withdraws rs . 1000 and b advances rs . 1000 more . at the end of the year , their profits amounted to rs . 630 find the share of b .",273,"a ) 240 , b ) 288 , c ) 273 , d ) 877 , e ) 361",c
815,"there are 18 balls in a jar . you take out 3 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1 / 5 . how many blue balls were there in the beginning ?",6,"a ) 12 , b ) 9 , c ) 8 , d ) 7 , e ) 6",e
816,"in august , a cricket team that played 120 matches won 20 % of the games it played . after a continuous winning streak , this team raised its average to 52 % . how many matches did the team win to attain this average ?",80,"a ) 40 , b ) 52 , c ) 68 , d ) 80 , e ) 98",d
817,"dacid obtained 72 , 45 , 72 , 77 and 75 marks ( out of 100 ) in english , mathematics , physics , chemistry and biology . what are his average marks ?",68,"a ) 67 , b ) 68 , c ) 87 , d ) 26 , e ) 75",b
818,find the area of a parallelogram with base 24 cm and height 16 cm .,384,"a ) 379 , b ) 384 , c ) 345 , d ) 342 , e ) 376",b
819,"two pipes a and b can fill a tank in 30 hours and 45 hours respectively . if both the pipes are opened simultaneously , how much time will be taken to fill the tank ?",18,"a ) 18 hours , b ) 15 hours , c ) 10 hours , d ) 12 hours , e ) 8 hours",a
820,a vendor buys 10 t - shirts at an average price of $ 14 per t - shirt . he then buys 15 more t - shirts at an average price of $ 11 per t - shirt . what is the average price d per t - shirt that the vendor paid for these purchases ?,12.20,"a ) $ 12.20 , b ) $ 12.50 , c ) $ 12.55 , d ) $ 12.70 , e ) $ 13.00",a
821,"a certain manufacturer produces items for which the production costs consist of annual fixed costs totaling $ 120,000 and variables costs averaging $ 8 per item . if the manufacturer ’ s selling price per item is $ 12 , how many items the manufacturer produce and sell to earn an annual profit of $ 140,000 ?",21,"a ) 2,858 , b ) 18,667 , c ) 21,429 , d ) 35,000 , e ) 65,000",e
822,there are 20 poles with a constant distance between each pole . a car takes 24 seconds to reach the 12 th pole . how much time will it take to reach the last pole ?,41.45,"a ) 25.25 s , b ) 17.45 s , c ) 35.75 s , d ) 41.45 s , e ) none of these",d
823,"in a group of 90 students , 36 are taking history , and 32 are taking statistics . if 57 students are taking history or statistics or both , then how many students are taking history but not statistics ?",25,"a ) 9 , b ) 19 , c ) 25 , d ) 27 , e ) 31",c
824,"if a - b = 4 and a 2 + b 2 = 18 , find the value of ab .",1,"a ) 9 , b ) 1 , c ) 2 , d ) 18 , e ) 19",b
825,"one computer can upload 100 megabytes worth of data in 5 seconds . two computers , including this one , working together , can upload 1300 megabytes worth of data in 40 seconds . how long would it take for the second computer , working on its own , to upload 100 megabytes of data ?",8,"a ) 6 , b ) 8 , c ) 9 , d ) 11 , e ) 13",b
826,a batsman makes a score of 88 runs in the 17 th inning and thus increases his averages by 3 . find his average after 17 th inning ?,40,"a ) 19 , b ) 29 , c ) 40 , d ) 49 , e ) 59",c
827,find the area between two concentric circles defined by x 2 + y 2 - 2 x + 4 y + 1 = 0 x 2 + y 2 - 2 x + 4 y - 11 = 0,12,"a ) 11 pi , b ) 12 pi , c ) 13 pi , d ) 14 pi , e ) 15 pi",b
828,stacy has a 63 page history paper due in 3 days . how many pages per day would she have to write to finish on time ?,21,"a ) 9 , b ) 8 , c ) 10 , d ) 8.5 , e ) 21",e
829,the sale price sarees listed for rs . 400 after successive discount is 20 % and 5 % is ?,304,"a ) 338 , b ) 277 , c ) 342 , d ) 882 , e ) 304",e
830,"calculate how many seconds it eill take for 4 bells to toll together again , given that they begin to toll together respectively at the intervals of 5 , 8 , 11 and 15 seconds . ?",1320,"a ) 1310 , b ) 1320 , c ) 1322 , d ) 1323 , e ) 1312",b
831,"the price of 3 pants and 6 t - shirts is rs . 2250 . with the same money one can buy 1 pant and 12 t - shirts . if one wants to buy 8 t - shirts , how much shall she have to pay ?",1200,"a ) 1300 , b ) 1100 , c ) 1000 , d ) 1200 , e ) 800",d
832,a train running at the speed of 30 km / hr crosses a pole in 24 seconds . what is the length of the train ?,200,"a ) 200 m , b ) 250 m , c ) 300 m , d ) 350 m , e ) 400 m",a
833,"- - - - - - - - - - - - - - - - yes - - - - - - - - - no - - - - unsure subject m - - - - 500 - - - - - - - - 200 - - - - - 100 subject r - - - - 400 - - - - - - - - 100 - - - - - 300 a total of 800 students were asked whether they found two subjects , m and r , interesting . each answer was either yes or no or unsure , and the numbers of students who gave these answers are listed in the table above . if 190 students answered yes only for subject m , how many of the students did not answer yes for either subject ?",210,"a ) 100 , b ) 210 , c ) 300 , d ) 400 , e ) 500",b
834,217 * 217 + 183 * 183,80578,"a ) 70578 , b ) 82578 , c ) 80578 , d ) 80568 , e ) 89045",c
835,"the length of a bridge in meters , which a train 100 - meters long and traveling at 45 km / hr can cross in 30 seconds is ?",275,"a ) 225 , b ) 245 , c ) 275 , d ) 325 , e ) 375",c
836,"a train 125 m long passes a man , running at 4 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is :",49,"a ) 49 km / hr , b ) 50 km / hr , c ) 45 km / hr , d ) 65 km / hr , e ) 87 km / hr",a
837,"divide $ 1000 among a , b in the ratio 1 : 4 . how many $ that b get ?",800,"a ) $ 500 , b ) $ 800 , c ) $ 1000 , d ) $ 200 , e ) $ 750",b
838,the positive number z is divisible by 4 . what is the remainder of dividing z ( 2 + 4 + z ) + 3 by 2 ?,1,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",b
839,an alloy of zinc and copper contains the metals in the ratio 5 : 3 . the quantity of zinc to be added to 16 kg of the alloy so that the ratio of the metal may be 3 : 1 is :,8,"a ) 2 , b ) 4 , c ) 8 , d ) 3 , e ) 1",c
840,the population of a village is 7800 . it increases annually at the rate of 18 % p . a . what will be its population after 2 years ?,10860,"a ) 10000 , b ) 12000 , c ) 13000 , d ) 10860 , e ) 14400",d
841,find the numbers which are in the ratio 5 : 2 : 4 such that the sum of the first and the second added to the difference of the third and the second is 18 ?,2,"a ) 4 , 3,22 , b ) 4 , 4,22 , c ) 10 , 4,8 , d ) 9 , 6,12 , e ) 9 , 2,23",c
842,apple costs l rupees per kilogram for first 30 kgs and q rupees per kilogram for each additional kilogram . if the price of 33 kilograms is 168 and for 36 kgs of apples is 186 then the cost of first 20 kgs of apples is,100,"a ) 3.69 , b ) 3.66 , c ) 3.6 , d ) 100 , e ) 3.61",d
843,two trains 200 m and 160 m long run at the speed of 68 kmph and 40 kmph in opposite directions in parallel tracks . the time which they take to cross each other is ?,12,"a ) 5.6 sec , b ) 8.9 sec , c ) 10.8 sec , d ) 12 sec , e ) 15 sec",d
844,the total age of a and b is 11 years more than the total age of b and c . c is how many years younger than a . ?,11,"a ) 16 , b ) 12 , c ) 11 , d ) 20 , e ) 10",c
845,"lagaan is levied on the 60 percent of the cultivated land . the revenue department collected total rs . 3 , 44,000 through the lagaan from the village of mutter . mutter , a very rich farmer , paid only rs . 480 as lagaan . the percentage of total land of mutter over the total taxable land of the village is :",0.23255,"a ) 0.23255 , b ) 0.14544 , c ) 0.25632 , d ) 0.35466 , e ) 0.63435",a
846,"s = { 2 , 3 , 4 , 5 } b = { 4 , 5 , 6 , 7 , 8 } two integers will be randomly selected from the sets above , one integer from set s and one integer from set b . what is the probability that the sum of the two integers will equal 9 ?",0.20,"a ) 0.15 , b ) 0.20 , c ) 0.25 , d ) 0.30 , e ) 0.33",b
847,how many 7 in between 1 to 130 ?,23,"a ) 18 , b ) 20 , c ) 22 , d ) 23 , e ) 24",d
848,"given that 100.48 = x , 100.70 = y and xz = y ² , then the value of z is close to",2.9,"a ) 1.2 , b ) 1.45 , c ) 2.2 , d ) 2.9 , e ) none",d
849,"the number of stamps that p and q had were in the ratio of 7 : 4 respectively . after p gave q 8 stamps , the ratio of the number of p ' s stamps to the number of q ' s stamps was 6 : 5 . as a result of the gift , p had how many more stamps than q ?",8,"a ) 4 , b ) 8 , c ) 12 , d ) 16 , e ) 20",b
850,"a certain cube floating in a bucket of water has between 80 and 85 percent of its volume below the surface of the water . if between 8 and 15 cubic centimeters of the cube ' s volume is above the surface of the water , then the length of a side of the cube is approximately",4,"a ) 3 , b ) 4 , c ) 7 , d ) 8 , e ) 9",b
851,a circular logo is enlarged to fit the lid of a jar . the new diameter is 10 per cent larger than the original . by what percentage has the area of the logo increased ?,21,"a ) 50 , b ) 80 , c ) 100 , d ) 125 , e ) 21",e
852,"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 20 miles per gallon , and from town b to town c , the car averaged 25 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?",21.4,"a ) 20 , b ) 18 , c ) 21.4 , d ) 16 , e ) 10",c
853,"the market value of a certain machine decreased by 20 percent of its purchase price each year . if the machine was purchased in 1982 for its market value of $ 8,000 , what was its market value two years later ?",3,"a ) $ 8,000 , b ) $ 5,600 , c ) $ 3,200 , d ) $ 2,400 , e ) $ 4,800",e
854,sum of the squares of 3 no . ' s is 267 and the sum of their products taken two at a time is 131 . find the sum ?,23,"a ) 20 , b ) 24 , c ) 26 , d ) 23 , e ) 30",d
855,"the average age of 10 students in a class is 15 years . if the age of teacher is also included , the average becomes 16 years , find the age of the teacher .",26,"a ) 30 , b ) 26 , c ) 28 , d ) 29 , e ) 45",b
856,"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of 17 kmph and 21 kmph respectively . when they meet , it is found that one train has traveled 60 km more than the other one . the distance between the two stations is ?",456,"a ) 11 , b ) 444 , c ) 2881 , d ) 287 , e ) 456",e
857,"in a college , 70 % of total 100 arts students are locals . 50 % of students from 200 science students are locals and 85 % of total 120 commerce students are locals . what is the total percentage of locals from arts , science and commerce .",64.7,"a ) 56 , b ) 86.7 , c ) 25.7 , d ) 66 , e ) 64.7",e
858,"every letter in the alphabet has a number value that is equal to its place in the alphabet . thus , the letter a has a value of 1 , the letter b has a value of 2 , the letter c has a value of 3 , etc . . . the number value of a word is obtained by adding up the value of the letters in the word and then multiplying that sum by the length of the word . what is the number value of the word ` ` cow ' ' ?",123,"a ) 120 , b ) 123 , c ) 126 , d ) 129 , e ) 132",b
859,"if the population of a certain country increases at the rate of 1 person every 60 seconds , by how many persons does the population increase in 2 hours ?",120,"a ) 120 , b ) 80 , c ) 100 , d ) 150 , e ) 140",a
860,"a rectangular lawn of length 200 m by 120 m has two roads running along its center , one along the length and the other along the width . if the width of the roads is 5 m what is the area t covered by the two roads ?",1575,"a ) 400 , b ) 1550 , c ) 1575 , d ) 1600 , e ) 1625",c
861,3550 - ( 1002 / 20.04 ) = ?,3500,"a ) 2984 , b ) 2983 , c ) 3500 , d ) 2981 , e ) none of these",c
862,"two ants , arthur and amy , have discovered a picnic and are bringing crumbs back to the anthill . amy makes twice as many trips and carries one and a half times as many crumbs per trip as arthur . if arthur carries a total of z crumbs to the anthill , how many crumbs will amy bring to the anthill , in terms of z ?",3,"a ) z / 2 , b ) z , c ) 3 z / 2 , d ) 2 z , e ) 3 z",e
863,"a , b and c rents a pasture for rs . 435 . a put in 12 horses for 8 months , b 16 horses for 9 months and 18 horses for 6 months . how much should c pay ?",135,"a ) 135 , b ) 227 , c ) 268 , d ) 198 , e ) 176",a
864,the least number which must be subtracted from 509 to make it exactly divisible by 9 is :,5,"a ) a ) 2 , b ) b ) 3 , c ) c ) 5 , d ) d ) 5 , e ) e ) 6",c
865,"if x / y = 9 / 8 , then ( 8 x + 7 y ) / ( 8 x â € “ 7 y ) = ?",8,"a ) 8 , b ) 7 , c ) 10 , d ) 9 , e ) 6",a
866,"a train 140 m long , running with a speed of 63 km / hr will pass a tree in ?",8,"a ) 15 sec , b ) 16 sec , c ) 18 sec , d ) 11 sec , e ) 8 sec",e
867,a person borrows rs . 8000 for 2 years at 4 % p . a . simple interest . he immediately lends it to another person at 6 p . a for 2 years . find his gain in the transaction per year .,160,"a ) 100 rs , b ) 150 rs , c ) 160 rs , d ) 180 rs , e ) 200 rs",c
868,"the ages of two persons differ by 16 years . if 5 years ago , the elder one be 5 times as old as the younger one , their present ages ( in years ) are respectively",20,"a ) 20,20 , b ) 20,10 , c ) 25,9 , d ) 30,10 , e ) none of these",c
869,the distance between 2 cities a and b is 1000 km . a train starts from a at 1 p . m . and travels towards b at 100 km / hr . another starts from b at 2 p . m . and travels towards a at 150 km / hr . at what time do they meet ?,6,"a ) 11 am . , b ) 6 p . m . , c ) 3 pm . , d ) 2 p . m . , e ) 1 p . m .",b
870,"in a certain brick wall , each row of bricks above the bottom row contains one less brick than the row just below it . if there are 5 rows in all and a total of 50 bricks in the wall , how many bricks does the bottom row contain ?",8,"a ) 12 , b ) 10 , c ) 9 , d ) 8 , e ) 11",d
871,"if 17 ^ 4 * 13 ^ 4 * 9 ^ 4 * 8 ^ 4 = x , what is the units digit of x ?",6,"a ) 8 , b ) 3 , c ) 6 , d ) 7 , e ) 9",c
872,"mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.15 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?",1.75,"a ) $ 1.75 , b ) $ 1.85 , c ) $ 2.00 , d ) $ 2.15 , e ) $ 2.30",a
873,a pipe can fill a cistern in 66 minutes . find the time in which 1 / 11 part of the cistern will be filled ?,6,"a ) 5 min , b ) 2 min , c ) 6 min , d ) 1 min , e ) 10 min",c
874,"a train crosses a platform of 160 m in 15 sec , same train crosses another platform of length 250 m in 20 sec . then find the length of the train ?",110,"a ) 110 , b ) 887 , c ) 167 , d ) 197 , e ) 161",a
875,"if the number 892 , 132,26 x is divisible by 11 , what must be the value of x ?",3,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",c
876,two trains are moving in opposite directions at 60 km / hr and 90 km / hr . their lengths are 1.75 km and 1.10 km respectively . the time taken by the slower train to cross the faster train in seconds is ?,66,"a ) 48 , b ) 9 , c ) 7 , d ) 66 , e ) 15",d
877,"tea worth rs . 126 per kg are mixed with a third variety in the ratio 1 : 1 : 2 . if the mixture is worth rs . 153 per kg , the price of the third variety per kg will be",175.50,"a ) rs . 169.50 , b ) rs . 1700 , c ) rs . 175.50 , d ) rs . 180 , e ) none",c
878,"if a and b are integers and ( a * b ) ^ 5 = 144 y , y could be :",54,"a ) 40 , b ) 48 , c ) 56 , d ) 62 , e ) 54",e
879,"on dividing 23 by a number , the quotient is 4 and the remainder is 3 . find the divisor .",5,"a ) 1 , b ) 2 , c ) 4 , d ) 5 , e ) 7",d
880,the diagonal of a rectangle is 41 cm and its area is 20 sq . cm . the perimeter of the rectangle must be :,18,"['a ) 18 cm', 'b ) 28 cm', 'c ) 30 cm', 'd ) 38 cm', 'e ) 42 cm']",a
881,a boy is travelling from his home to school at 12 km / hr and reached 7 min late . next day he traveled at 16 km / hr and reached 8 min early . distance between home and school ?,12,"a ) 12 km , b ) 13 km , c ) 14 km , d ) 15 km , e ) 16 km",a
882,"after an ice began to melt out from the freezer , in the first hour lost 3 / 4 , in the second hour lost 3 / 4 of its remaining . if after two hours , the volume is 0.4 cubic inches , what is the original volume of the cubic ice , in cubic inches ?",6.4,"['a ) 2.5', 'b ) 3.0', 'c ) 4.0', 'd ) 6.4', 'e ) 8.0']",d
