Question,Answer,Options,Correct
"two trains , each 100 m long , moving in opposite directions , cross other in 5 sec . if one is moving twice as fast the other , then the speed of the faster train is ?",42,"a ) 26 km / hr , b ) 17 km / hr , c ) 60 km / hr , d ) 42 km / hr , e ) 46 km / hr",d
"shreehari has 125 pencils . there are 25 students are studying in his class . he would like to give each student the same amount of pencils , how much should he give to each student ?",5,"a ) 12 , b ) 7 , c ) 5 , d ) 15 , e ) 6",c
what is the value of 3 x ^ 2 − 1.8 x + 0.5 for x = 0.6 ?,0.5,"a ) − 0.3 , b ) 0 , c ) 0.3 , d ) 1.08 , e ) 0.5",e
"the consumption of diesel per hour of a bus varies directly as square of its speed . when the bus is travelling at 60 kmph its consumption is 1 litre per hour . if each litre costs $ 60 and other expenses per hous is $ 60 , then what would be the minimum expenditure required to cover a distance of 600 km ?",1200,"a ) 120 , b ) 1250 , c ) 1200 , d ) 1100 , e ) 1150",c
there were two candidates in an election . winner candidate received 62 % of votes and won the election by 288 votes . find the number of votes casted to the winning candidate ?,744,"a ) 456 , b ) 744 , c ) 912 , d ) 1200 , e ) 1400",b
"there are 17 teams in the hockey league , and each team faces all the other teams 10 times each . how many games are played in the season ?",1360,"a ) 980 , b ) 1150 , c ) 1360 , d ) 1540 , e ) 1720",c
in how many ways can 7 boys be seated in a circular order ?,720,"a ) 110 , b ) 230 , c ) 720 , d ) 420 , e ) 680",c
"if n = 8 ^ 9 – 8 , what is the units digit of n ?",0,"a ) 4 , b ) 0 , c ) 1 , d ) 2 , e ) 3",b
"a , b , c subscribe rs . 50,000 for a business . if a subscribes rs . 4000 more than b and b rs . 5000 more than c , out of a total profit of rs . 40,000 , what will be the amount a receives ?",16800,"a ) 14700 , b ) 14500 , c ) 16800 , d ) 14300 , e ) 14000",c
"30 carrots on a scale weigh 5.94 kg . when 3 carrots are removed from the scale , the average weight of the 27 carrots is 200 grams . what is the average weight ( in grams ) of the 3 carrots which were removed ?",180,"a ) 165 , b ) 170 , c ) 175 , d ) 180 , e ) 185",d
"two trains start at same time from two stations and proceed towards each other at the rate of 20 km / hr and 25 km / hr respectively . when they meet , it is found that one train has traveled 75 km more than the other . what is the distance between the two stations ?",675,"a ) 540 km , b ) 675 km , c ) 276 km , d ) 178 km , e ) 176 km",b
what is the smallest positive integer x such that 120 - x is the cube of a positive integer ?,5,"a ) 10 , b ) 6 , c ) 5 , d ) 0 , e ) 1",c
"two ants , arthur and amy , have discovered a picnic and are bringing crumbs back to the anthill . amy makes twice as many trips and carries one and a half times as many crumbs per trip as arthur . if arthur carries a total of c crumbs to the anthill , how many crumbs will amy bring to the anthill , in terms of c ?",3,"a ) x / 2 , b ) x , c ) 3 x / 2 , d ) 2 x , e ) 3 x",e
"in a mayoral election , candidate x received 2 / 3 more votes than candidate y , and candidate y received 1 / 3 fewer votes than z . if z received 27,000 votes how many votes did candidate x received ?",30000,"a ) 18000 , b ) 22000 , c ) 24000 , d ) 26000 , e ) 30000",e
a cubical block of metal weighs 4 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?,32,"a ) 48 , b ) 32 , c ) 24 , d ) 18 , e ) 12",b
"when a mobile is sold for rs . 24000 , the owner loses 40 % . at what price must that mobile be sold in order to gain 40 % ?",00,"a ) 54,000 , b ) 56,000 , c ) 58,000 , d ) 60,000 , e ) 62,000",b
"bella is taking a trip in her car from new york ( point a ) chicago , illinois ( point b ) . she is traveling at an average speed of 50 miles per hour , if the total distance from point a to point b is 790 miles , in approximately how long will bella reach her destination ?",15.80,"a ) 10 hours , b ) 12.50 hours , c ) 15.80 hours , d ) 25 hours , e ) 1 day",c
three numbers are in the ratio 4 : 5 : 6 and their average is 36 . the largest number is :,43.2,"a ) 28 , b ) 32 , c ) 43.2 , d ) 42 , e ) 45",c
"the probability that event a occurs is 0.4 , and the probability that events a and b both occur is 0.25 . if the probability that either event a or event b occurs is 0.6 , what is the probability that event b will occur ?",0.45,"a ) 0.05 , b ) 0.15 , c ) 0.45 , d ) 0.5 , e ) 0.55",c
"there are 437 doctors and nurses in a hospital . if the ratio of the doctors to the nurses is 8 : 11 , then how many nurses are there in the hospital ?",253,"a ) 152 , b ) 253 , c ) 57 , d ) 171 , e ) 181",b
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of 14 kmph and 21 kmph respectively . when they meet , it is found that one train has traveled 60 km more than the other one . the distance between the two stations is ?",420,"a ) 477 , b ) 420 , c ) 279 , d ) 276 , e ) 291",b
how many integers from 0 to 50 inclusive have a remainder of 3 when divided by 8 ?,6,"a ) 5 , b ) 6 , c ) 7 , d ) 8 , e ) 9",b
"two brothers took the gmat exam , the higher score is x and the lower one is y . if the difference between the two scores is 1 / 5 , what is the value of x / y ?",5,"a ) 3 . , b ) 5 , c ) 1 / 2 . , d ) 1 / 3 . , e ) there is n ' t enough data to answer the question .",b
"how much interest will $ 10,000 earn in 9 months at an annual rate of 3 % ?",225,"a ) $ 250 , b ) $ 350 , c ) $ 450 , d ) $ 550 , e ) $ 225",e
"the average weight of 20 persons sitting in a boat had some value . a new person added to them whose weight was 47 kg only . due to his arrival , the average weight of all the persons decreased by 5 kg . find the average weight of first 20 persons ?",58,"a ) 55 , b ) 56 , c ) 57 , d ) 58 , e ) 59",d
p can do a work in 24 days . q can do the samework in 9 days & r can do the same work in 12 days . q & r start the work and leave after 3 days . p finishes the remaining work in how many days .,10,"a ) 8 , b ) 10 , c ) 14 , d ) 16 , e ) 19",b
what is the difference between the c . i . on rs . 8000 for 1 1 / 2 years at 4 % per annum compounded yearly and half - yearly ?,3.26,"a ) s . 3.26 , b ) s . 2.08 , c ) s . 2.02 , d ) s . 2.83 , e ) s . 2.42",a
"the number of timeshare condos available at sunset beach is 2 / 5 the number of timeshare condos available at playa del mar . if the total number of timeshare condos available at the two beaches combined is 210 , what is the difference between the number of condos available at sunset beach and the number of condos available at playa del mar ?",90,"a ) 60 , b ) 90 , c ) 120 , d ) 150 , e ) 240",b
a can do a particular work in 6 days . b can do the same work in 8 days . a and b signed to do it for rs . 3840 . they completed the work in 3 days with the help of c . how much is to be paid to c ?,480,"a ) s . 380 , b ) s . 600 , c ) s . 420 , d ) s . 400 , e ) s . 480",e
"on dividing 13698 by a certain number , we get 89 as quotient and 14 as remainder . what is the divisor ?",154,"a ) 743 , b ) 154 , c ) 852 , d ) 741 , e ) 785",b
"a store owner estimates that the average price of type a products will increase by 30 % next year and that the price of type b products will increase by 10 % next year . this year , the total amount paid for type a products was $ 4500 and the total price paid for type b products was $ 8300 . according to the store owner ' s estimate , and assuming the number of products purchased next year remains the same as that of this year , how much will be spent for both products next year ?",14,"a ) $ 14,980 , b ) $ 15,325 , c ) $ 16,000 , d ) $ 16,225 , e ) $ 17,155",a
"a father said his son , ` ` i was as old as you are at present at the time of your birth . ` ` if the father age is 38 now , the son age 5 years back was",14,"a ) 14 , b ) 17 , c ) 11 , d ) 19 , e ) 99",a
"the number of people who purchased book a is twice the number of people who purchased book b . the number of people who purchased both books a and b is 500 , which is twice the number of people who purchased only book b . what is the number of people x who purchased only book a ?",1000,"a ) 250 , b ) 500 , c ) 750 , d ) 1000 , e ) 1500",d
a sum of money at simple interest amounts to rs . 825 in 3 years and to rs . 854 in 4 years . the sum is ?,738,"a ) rs . 738 , b ) rs . 638 , c ) rs . 650 , d ) rs . 730 , e ) rs . 735",a
"in how many seconds will a train 150 meters long pass an oak tree , if the speed of the train is 54 km / hr ?",10,"a ) 6 , b ) 8 , c ) 10 , d ) 12 , e ) 14",c
"in a certain game , each player scores either 2 points or 5 points . if n players score 2 points and m players score 5 points , and the total number of points scored is 50 , what is the least possible positive e difference between n and m ?",3,"a ) 1 , b ) 3 , c ) 5 , d ) 7 , e ) 9",b
"4 years ago , paula was 4 times as old as karl . in 4 years , paula will be twice as old as karl . what is the sum of their ages now ?",28,"a ) 22 , b ) 24 , c ) 26 , d ) 28 , e ) 30",d
"a palindrome is a word or a number that reads the same forward and backward . for example , 2442 and 111 are palindromes . if 5 - digit palindromes are formed using one or more of the digits 1 , 2 , 3 , 4 , and 5 , how many palindromes are possible ?",125,"a ) 25 , b ) 75 , c ) 125 , d ) 225 , e ) 625",c
"if the personal income tax rate is lowered from 40 % to 33 % , what is the differential savings for a tax payer having an annual income before tax to the tune of $ 45000 ?",3150,"a ) $ 3500 , b ) $ 5000 , c ) $ 3150 , d ) $ 7000 , e ) $ 10000",c
the length of minute hand of a clock is 5.4 cm . what is the area covered by this in 10 minutes,15.27,"a ) 15.27 , b ) 16.27 , c ) 17.27 , d ) 18.27 , e ) 19.27",a
a pipe takes a hours to fill the tank . but because of a leakage it took 4 times of its original time . find the time taken by the leakage to empty the tank,80,"a ) 50 min , b ) 60 min , c ) 90 min , d ) 80 min , e ) 70 min",d
"the compound interest on $ 30,000 at 7 % per annum is $ 4347 . the period ( in years ) is :",2,"a ) 2 , b ) 2 1 / 2 , c ) 3 , d ) 4 , e ) 5",a
"jonathan can type a 50 page document in 40 minutes , susan can type it in 30 minutes , and jack can type it in 24 minutes . working together , how much time will it take them to type the same document ?",10,"a ) 5 minutes , b ) 10 minutes , c ) 15 minutes , d ) 18 minutes , e ) 20 minutes",b
find the annual income derived by investing $ 6800 in 30 % stock at 136 .,1500,"a ) 550 , b ) 1500 , c ) 250 , d ) 1300 , e ) 400",b
"joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 90 . he was allowed to drop his lowest score . after doing so , his average test score improved to 85 . what is the lowest test score that was dropped ?",75,"a ) 20 , b ) 25 , c ) 55 , d ) 75 , e ) 80",d
the average age of 6 men increases by 2 years when two women are included in place of two men of ages 10 and 12 years . find the average age of the women ?,17,"a ) 87 , b ) 12 , c ) 30 , d ) 28 , e ) 17",e
"it takes 35 identical printing presses 15 hours to print 500,000 papers . how many hours would it take 25 of these printing presses to print 500,000 papers ?",21,"a ) 18 , b ) 20 , c ) 21 , d ) 24 , e ) 25",c
3639 + 11.95 - x = 3054 . find the value of x .,596.95,"a ) 407.09 , b ) 479.75 , c ) 523.93 , d ) 596.95 , e ) none of these",d
"the cost per pound of milk powder and coffee were the same in june . in july , the price of coffee shot up by 300 % and that of milk powder dropped by 80 % . if in july , a mixture containing equal quantities of milk powder and coffee costs $ 6.30 for 3 lbs , how much did a pound of milk powder cost in july ?",0.2,"a ) $ 4 , b ) $ 0.2 , c ) $ 1 , d ) $ 3 , e ) $ 1.65",b
a certain class of students is being divided into teams . the class can either be divided into 18 teams with an equal number of players on each team or 24 teams with an equal number of players on each team . what is the lowest possible number of students in the class ?,72,"a ) 6 , b ) 36 , c ) 48 , d ) 60 , e ) 72",e
"a bus started its journey from mumbai and reached pune in 44 min with its average speed of 50 km / hr . if the average speed of the bus is increased by 5 km / hr , how much time will it take to cover the same distance ?",40,"a ) 38 min , b ) 36 min , c ) 31 min , d ) 40 min , e ) 49 min",d
"daniel went to a shop and bought things worth rs . 25 , out of which 30 paise went on sales tax on taxable purchases . if the tax rate was 10 % , then what was the cost of the tax free items ?",21.7,"a ) a ) 19.7 , b ) b ) 20 , c ) c ) 21.3 , d ) d ) 21.7 , e ) e ) 22",d
how many positive integers less than 250 are there such that they are multiples of 15 or multiples of 16 ?,30,"a ) 28 . , b ) 29 . , c ) 30 . , d ) 31 . , e ) 32 .",c
"if ( 5 - x ) / ( 5 + x ) = x , what is the value of x ^ 2 + 6 x - 5 ?",0,"a ) - 6 , b ) - 4 , c ) - 2 , d ) 0 , e ) 3",d
1 / 2 - [ ( 2 / 7 * 7 / 32 ) + 1 ] + 9 / 16 =,0,"a ) 29 / 16 , b ) 19 / 16 , c ) 15 / 16 , d ) 9 / 13 , e ) 0",e
if a person buy radio worth rs 2468 and pay 7 % sales . how much price of radio should reduce to pay only rs 2468 .,162,"a ) 162 , b ) 158 , c ) 159 , d ) 130 , e ) 160",a
"3 buffaloes eat as much as 4 cows or 2 oxen . at a farm , there are 15 buffaloes , 8 oxen , and 24 cows . the fodder for these cattle is available for 48 days . if 60 more cows and 30 more buffaloes are brought in , how many days will the fodder last ?",18,"a ) 15 days , b ) 18 days , c ) 21 days , d ) 24 days , e ) 27 days",b
the difference between a number and its three - fifth is 50 . what is the number ?,125,"a ) 185 , b ) 190 , c ) 160 , d ) 120 , e ) 125",e
"if x = 6 and y = − 2 , what is the value of ( x − 2 y ) ^ y ?",0.01,"a ) − 100 , b ) 0.01 , c ) 0.25 , d ) 4 , e ) 8",b
a rectangular swimming pool is 8 feet by 20 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 540 square feet . what is the width of the deck ?,5,"a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",e
a 270 m long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds . what is the length of the other train ?,230,"a ) 230 m , b ) 240 m , c ) 260 m , d ) 320 m , e ) 350 m",a
"a sum of money is to be divided among ann , bob and chloe . first , ann receives $ 4 plus one - half of what remains . next , bob receives $ 4 plus one - third of what remains . finally , chloe receives the remaining $ 32 . how much money t did bob receive ?",22,"a ) 20 , b ) 22 , c ) 24 , d ) 26 , e ) 52",b
"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is 40 kilometers , maxwell ' s walking speed is 3 km / h , and brad ' s running speed is 5 km / h . what is the distance traveled by maxwell when they meet in the middle ?",15,"a ) 16 , b ) 17 , c ) 18 , d ) 15 , e ) 14",d
"in a group of 12 engineers , 4 engineers have a phd degree ; the others have only an ms or bs degree . a team of 4 engineers is to be chosen which must have at least 1 engineer with a phd , how many different teams can be chosen ?",425,"a ) 495 , b ) 70 , c ) 245 , d ) 425 , e ) 555",d
what will be the ci on a sum of rs . 25000 after 3 years at the rate of 12 per year ?,10123.20,"a ) rs . 10100 , b ) rs . 10110 , c ) rs . 10123.20 , d ) rs . 10135.50 , e ) rs . 10167.20",c
"if a person walks at 15 km / hr instead of 10 km / hr , he would have walked 10 km more . the actual distance traveled by him is ?",30,"a ) 50 km , b ) 30 km , c ) 18 km , d ) 16 km , e ) 97 km",b
"a rectangular grass field is 85 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?",1450,"a ) 1450 , b ) 1971 , c ) 9676 , d ) 1679 , e ) 2691",a
"the speed at which a man can row a boat in still water is 18 kmph . if he rows downstream , where the speed of current is 3 kmph , what time will he take to cover 60 metres ?",15.4,"a ) 16 seconds , b ) 15.4 seconds , c ) 26 seconds , d ) 12 seconds , e ) 18 seconds",b
two trains are moving at 50 kmph and 70 kmph in opposite directions . their lengths are 170 m and 100 m respectively . the time they will take to pass each other completely is ?,8,"a ) 3 sec , b ) 8 sec , c ) 9 sec , d ) 5 sec , e ) 7 sec",b
"having scored 96 runs in the 19 th inning , a cricketer increases his average score by 4 . what will be his average score after 19 innings ?",24,"a ) 28 , b ) 27 , c ) 26 , d ) 22 , e ) 24",e
"what is the greatest possible length which can be used to measure exactly the lengths 8 m , 4 m 20 cm and 12 m 20 cm ?",20,"a ) 10 cm , b ) 30 cm , c ) 25 cm , d ) 20 cm , e ) 35 cm",d
"what least number should be added to 1019 , so that the sum is completely divisible by 25 ?",6,"a ) 4 , b ) 3 , c ) 2 , d ) 0 , e ) 6",e
"if x = 1 + √ 2 , then what is the value of x 4 - 4 x 3 + 4 x 2 + 5 ?",6,"a ) - 1 , b ) 0 , c ) 6 , d ) 2 , e ) 3",c
the ratio of sum of squares of first n natural numbers to square of sum of first n natural numbers is 17 : 325 . the value of n is,25,"['a ) 15', 'b ) 25', 'c ) 35', 'd ) 30', 'e ) none of these']",b
"a man is walking at a speed of 10 km per hour . after every kilometre , he takes rest for 5 minutes . how much time will be take to cover a distance of 5 kilometres ?",50,"a ) 48 min . , b ) 50 min . , c ) 45 min . , d ) 55 min . , e ) none of these",b
harkamal purchased 8 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?,1055,"a ) 1000 , b ) 1055 , c ) 1065 , d ) 1075 , e ) 1080",b
"a man started driving at a constant speed , from the site of a blast , the moment he heard the blast . he heard a second blast after a time of 30 mins and 12 seconds . if the second blast occurred exactly 30 mins after the first , how many meters was he from the site when he heard the second blast ? ( speed of sound = 330 m / s )",3960,"a ) 3120 , b ) 3330 , c ) 3540 , d ) 3750 , e ) 3960",e
"how many positive integers less than 5,000 are evenly divisible by neither 13 nor 21 ?",4,"a ) 4,514 , b ) 4,475 , c ) 4,521 , d ) 4,428 , e ) 4,349",e
"a train leaves delhi at 9 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 40 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?",600,"a ) 900 km , b ) 800 km , c ) 600 km , d ) 690 km , e ) 609 km",c
a 5 % stock yields 10 % . the market value of the stock is :,50,"a ) rs . 56 , b ) rs . 55 , c ) rs . 50 , d ) rs . 90 , e ) rs . 75",c
"a train 120 m long passes a man , running at 6 kmph in the direction opposite to that of the train , in 6 seconds . the speed of the train is",66,"a ) 54 kmph , b ) 60 kmph , c ) 66 kmph , d ) 72 kmph , e ) 82 kmph",c
the diagonal of a rhombus are 25 m and 50 m . its area is :,625,"a ) 900 , b ) 800 , c ) 700 , d ) 625 , e ) 650",d
what is the angle between the hands of a clock when time is 10 : 20 ?,90,"a ) 90 deg , b ) 75 deg , c ) 45 deg , d ) 15 deg , e ) 30 deg",a
the diameter of a cylindrical tin is 14 cm and height is 5 cm . find the volume of the cylinder ?,245,"a ) 230 , b ) 141 , c ) 66 , d ) 245 , e ) 21",d
"if 40 men take 15 days to to complete a job , in how many days can 25 men finish that work ?",24,"a ) 24 , b ) 25 , c ) 26 , d ) 27 , e ) 28",a
"it takes printer a 4 more minutes more than printer b to print 40 pages . working together , the two printers can print 50 pages in 6 minutes . how long will it take printer a to print 160 pages ?",48,"a ) 12 , b ) 18 , c ) 48 , d ) 20 , e ) 30",c
find the cost of fencing around a circular field of diameter 22 m at the rate of rs . 3 a meter ?,207.3,"a ) 288 , b ) 132 , c ) 772 , d ) 207.3 , e ) 261",d
"there are 6 people in the elevator . their average weight is 156 lbs . another person enters the elevator , and increases the average weight to 151 lbs . what is the weight of the 7 th person .",121,"a ) 121 , b ) 168 , c ) 189 , d ) 190 , e ) 200",a
"each child has 2 pencils and 13 skittles . if there are 15 children , how many pencils are there in total ?",30,"a ) 30 , b ) 12 , c ) 18 , d ) 22 , e ) 08",a
"if a certain number x is divided by 62 , the reminder is 7 . what is the reminder when x + 11 is divided by 31 ?",18,"a ) 3 , b ) 5 , c ) 18 , d ) 6 , e ) 8",c
"if 7 ^ w is a factor of the product of the integers from 1 to 100 , inclusive , what is the largest value of w ?",16,"a ) 12 , b ) 13 , c ) 14 , d ) 15 , e ) 16",e
"a women purchased 3 towels @ rs . 100 each , 5 towels @ rs . 150 each and two towels at a certain rate which is now slipped off from his memory . but she remembers that the average price of the towels was rs . 145 . find the unknown rate of two towels ?",400,"a ) a ) 400 , b ) b ) 450 , c ) c ) 500 , d ) d ) 550 , e ) e ) 600",a
"if 2 pipes take an hour to fill a tank , then how long should 8 pipes take to fill the same tank ?",15,"a ) 20 min , b ) 10 min , c ) 15 min , d ) 25 min , e ) 30 min",c
"there are 6 chess amateurs playing in villa ' s chess club tournament . if each chess amateur plays with exactly 4 other amateurs , what is the total number of chess games possible to be played in the tournament ?",12,"a ) 10 , b ) 20 , c ) 40 , d ) 60 , e ) 12",e
express a speed of 30 kmph in meters per second ?,8,"a ) 10 mps , b ) 8 mps , c ) 9 mps , d ) 7 mps , e ) 12 mps",b
"in a maths test , students were asked to find 5 / 16 of a certain number . one of the students by mistake found 5 / 6 th of that number and his answer was 100 more than the correct answer . find the number .",192,"a ) 192 , b ) 280 , c ) 384 , d ) 400 , e ) 500",a
someone on a skateboard is traveling 13 miles per hour . how many feet does she travel in 25 seconds ? ( 1 mile = 5280 feet ),476.75,"a ) 476.75 ft , b ) 450 ft , c ) 480 ft , d ) 490 ft , e ) 500 ft",a
8900 ÷ 6 ÷ 4 = ?,370.833,"a ) 349 , b ) 541.75 , c ) 224.37 , d ) 370.833 , e ) none of these",d
a train speeds past a pole in 15 seconds and a platform 100 m long in 40 seconds . its length is ?,100,"a ) 188 m , b ) 876 m , c ) 251 m , d ) 100 m , e ) 145 m",d
a train running at the speed of 30 km / hr crosses a pole in 12 seconds . what is the length of the train ?,100,"a ) 70 , b ) 80 , c ) 90 , d ) 100 , e ) 110",d
three numbers are in the ratio 3 : 4 : 5 and their l . c . m is 2400 . their h . c . f is :,40,"a ) 40 , b ) 80 , c ) 120 , d ) 200 , e ) 220",a
how many positive integers less than 9999 are such that the product of their digits is 210 .,24,"a ) 24 , b ) 58 , c ) 26 , d ) 34 , e ) 25",a
two stations p and q are 65 km apart on a straight track . one train starts from p at 7 a . m . and travels towards q at 20 kmph . another train starts from q at 8 a . m . and travels towards p at a speed of 25 kmph . at what time will they meet ?,9,"a ) 9 am , b ) 12 am , c ) 10.30 am , d ) 12.30 am , e ) 11 am",a
"a man saves 10 % of his monthly salary . if an account of dearness of things he is to increase his monthly expenses by 5 % , he is only able to save rs . 400 per month . what is his monthly salary ?",7273,"a ) rs . 6500 , b ) rs . 7500 , c ) rs . 7200 , d ) rs . 7273 , e ) rs . 6300",d
"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 8480 , what is the length of the plot in metres ?",90,"a ) 20 , b ) 200 , c ) 300 , d ) 90 , e ) 140",d
find the last digit of ( 1021 ^ 3921 ) + ( 3081 ^ 3921 ),2,"a ) 0 , b ) 1 , c ) 2 , d ) 3 , e ) 4",c
"the average weight of d , e and f is 42 kg . if the average weight of d and e be 35 kg and that of e and f be 41 kg , what is the weight of e ?",26,"a ) 23 kg , b ) 24 kg , c ) 25 kg , d ) 26 kg , e ) 27 kg",d
"two trains 121 meters and 165 meters in length respectively are running in opposite directions , one at the rate of 75 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?",7.35,"a ) 7.19 , b ) 7.17 , c ) 7.2 , d ) 7.35 , e ) 7.11",d
find the smallest number which when divided by 12 and 15 leaves respective remainders of 8 and 11 .,56,"a ) 87 , b ) 97 , c ) 27 , d ) 21 , e ) 56",e
"a batsman in his 20 th innings makes a score of 90 , and thereby increases his average by 2 . what is his average after the 20 th innings ? he had never been ’ not out ’ .",52,"a ) 52 , b ) 37 , c ) 39 , d ) 43 , e ) 42",a
"s ( n ) is a n - digit number formed by attaching the first n perfect squares , in order , into one integer . for example , s ( 1 ) = 1 , s ( 2 ) = 14 , s ( 3 ) = 149 , s ( 4 ) = 14916 , s ( 5 ) = 1491625 , etc . how many digits are in s ( 99 ) ?",353,"a ) 350 , b ) 353 , c ) 354 , d ) 356 , e ) 357",b
the h . c . f . of two numbers is 23 and the other two factors of their l . c . m . are 10 and 12 . the larger of the two numbers is :,276,"a ) 276 , b ) 295 , c ) 322 , d ) 345 , e ) 354",a
how many figures are required to number the pages the pages of a book containing 1210 pages ?,3733,"a ) 3533 , b ) 3833 , c ) 3333 , d ) 3633 , e ) 3733",e
"the average weight of a , b and c is 75 kg . if the average weight of a and b be 88 kg and that of b and c be 72 kg , then the weight of b is :",63,"a ) 60 kg , b ) 59 kg , c ) 62 kg , d ) 63 kg , e ) 61 kg",d
"a and b are mixed together in the ratio 9 : 11 . what is the weight of mixture , if 26.1 kg of a has been consumed in it ?",58,"a ) 56 , b ) 45 , c ) 58.2 , d ) 58 , e ) 46",d
find the constant k so that : - x 2 - ( k + 12 ) x - 8 = - ( x - 2 ) ( x - 4 ),18,"a ) 11 , b ) 12 , c ) 18 , d ) 14 , e ) 15",c
"last year , company x paid out a total of $ 1 , 050,000 in salaries to its 31 employees . if no employee earned a salary that is more than 20 % greater than any other employee , what is the lowest possible salary that any one employee earned ?",00,"a ) $ 10,000 , b ) $ $ 28 , 378.37 , c ) $ 42,000 , d ) $ 50,000 , e ) $ 60,000",b
"if n is a positive integer and the product of all integers from 1 to n , inclusive , is a multiple of 350 , what is the least possible value of n ?",7,"a ) 5 , b ) 7 , c ) 12 , d ) 13 , e ) 14",b
the water level in a rectangular swimming pool measuring 40 feet by 25 feet is to be lowered by 6 inches . how many gallons of water must be removed ? ( 1 cu ft = 7.5 gallons ),3750,"a ) 100 , b ) 250 , c ) 750 , d ) 3750 , e ) 5625",d
"3 maths classes : a , b and c take an algebra test . the average score of class a is 83 . the average score of class b is 76 . the average score of class c is 85 . the average score of class a and b is 79 and average score of class b and c is 81 . what is the average score of classes a , b , c ?",81.5,"a ) 81.8 , b ) 81.1 , c ) 81.2 , d ) 81.5 , e ) 81.9",d
"at a certain resort , each of the 39 food service employees is trained to work in a minimum of 1 restaurant and a maximum of 3 restaurants . the 3 restaurants are the family buffet , the dining room , and the snack bar . exactly 19 employees are trained to work in the family buffet , 18 are trained to work in the dining room , and 12 are trained to work in the snack bar . if 4 employees are trained to work in exactly 2 restaurants , how many employees are trained to work in all 3 restaurants ?",3,"a ) 2 , b ) 3 , c ) 4 , d ) 5 , e ) 6",b
the volume of a cube is 1728 cc . find its surface .,864,"a ) 864 , b ) 556 , c ) 255 , d ) 287 , e ) 267",a
"the length of rectangle is thrice its breadth and its perimeter is 40 m , find the area of the rectangle ?",75,"a ) 432 , b ) 212 , c ) 75 , d ) 992 , e ) 212",c
a 25 cm wide path is to be made around a circular garden having a diameter of 4 meters . approximate area of the path is square meters is ?,3.34,"a ) 3.34 sq m , b ) 98.8 sq m , c ) 67.8 sq m , d ) 27.9 sq m , e ) 19.9 sq m",a
a train is 700 meter long is running at a speed of 21 km / hour . in what time will it pass a bridge of 130 meter length ?,142.286,"a ) 142.286 , b ) 251.228 , c ) 34 , d ) 200 , e ) 150.627",a
the ratio of pens to pencils is 5 to 6 . there are 4 more pencils than pens . how many pencils are there ?,24,"a ) 12 , b ) 16 , c ) 20 , d ) 24 , e ) 28",d
a train passes a station platform in 42 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?,450,"a ) 227 , b ) 450 , c ) 460 , d ) 480 , e ) 171",b
how many pieces of 75 cm can be cut from a rope 45 meters long ?,60,"a ) 30 , b ) 40 , c ) 60 , d ) none , e ) can not be determined",c
the product of two numbers is 120 and the sum of their squares is 289 . find the sum ?,23,"a ) 23 , b ) 20 , c ) 15 , d ) 26 , e ) 28",a
find the sum of first 26 natural numbers,351,"a ) 470 , b ) 468 , c ) 465 , d ) 351 , e ) 485",d
x + ( 1 / x ) = 3 find x ^ 2 + ( 1 / x ^ 2 ),7,"a ) 2.25 , b ) 7 , c ) 4.25 , d ) 5.25 , e ) 6.25",b
a certain debt will be paid in 52 installments from january 1 to december 31 of a certain year . each of the first 8 payments is to be $ 410 ; each of the remaining payments is to be $ 65 more than each of the first 8 payments . what is the average ( arithmetic mean ) payment that will be made on the debt for the year ?,465,"a ) 443 , b ) 450 , c ) 465 , d ) 468 , e ) 475",c
the sum of the fourth and twelfth term of an arithmetic progression is 20 . what is the sum of the first 20 terms of the arithmetic progression ?,200,"a ) 300 , b ) 120 , c ) 150 , d ) 170 , e ) 200",e
"a alone can finish a work in 10 days which b alone can finish in 15 days . if they work together and finish it , then out of a total wages of rs . 3100 , a will get :",1860,"a ) rs . 1200 , b ) rs . 1500 , c ) rs . 1860 , d ) rs . 2000 , e ) none of these",c
"crazy eddie has a key chain factory . eddie managed to decrease the cost of manufacturing his key chains while keeping the same selling price , and thus increased the profit from the sale of each key chain from 40 % of the selling price to 50 % of the selling price . if the manufacturing cost is now $ 50 , what was it before the decrease ?",60,"a ) $ 20 , b ) $ 40 , c ) $ 50 , d ) $ 80 , e ) $ 60",e
