question,answer,qA
"#Q Which one of these famous writers took part in the Klondike Gold Rush?
",Jack London,"['#Q Which one of these famous writers took part in the Klondike Gold Rush?\n'
 '^ Jack London\n' 'A Ernest Hemingway\n' 'B Jack London\n'
 'C Maine Reed\n' 'D Mark Twain\n']"
"#Q The Colorado Gold Rush of 1859 was followed by a silver boom (a period of great silver mining).
",True,"['#Q The Colorado Gold Rush of 1859 was followed by a silver boom (a period of great silver mining).\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q One man who made a fortune out of gold rushes was Levi Strauss. He developed the concept of this.\n']"
"#Q One man who made a fortune out of gold rushes was Levi Strauss. He developed the concept of this.
",Denim,"['#Q One man who made a fortune out of gold rushes was Levi Strauss. He developed the concept of this.\n'
 '^ Denim\n' 'A Electric lamp\n' 'B Mattock\n' 'C Denim\n'
 'D Explosives\n']"
"#Q This technique for extracting gold was discovered by chemist Carl Wilhelm Scheele in 1783, and was later developed in 1887 by John Seward MacArthur.
",Gold cyanidation,"['#Q This technique for extracting gold was discovered by chemist Carl Wilhelm Scheele in 1783, and was later developed in 1887 by John Seward MacArthur.\n'
 '^ Gold cyanidation\n' 'A Gold cyanidation\n' 'B Gold zincanization\n'
 'C Hydraulic mining\n' 'D Gold panning\n']"
"#Q Many people seeking an easy fortune emigrated to California, USA during the California Gold Rush (1848-1858). The gold rush was sparked by the discovery of gold near this city.
",Sacramento,"['#Q Many people seeking an easy fortune emigrated to California, USA during the California Gold Rush (1848-1858). The gold rush was sparked by the discovery of gold near this city.\n'
 '^ Sacramento\n' 'A San Francisco\n' 'B San Diego\n' 'C Los Angeles\n'
 'D Sacramento\n']"
"#Q The San Francisco 49ers are an NFL team named after the prospectors that took part in the California Gold Rush.
",True,"['#Q The San Francisco 49ers are an NFL team named after the prospectors that took part in the California Gold Rush.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q One of the earliest gold rushes was probably the Spanish search for the mythical city of El Dorado. According to early legends, the King of the Muiscas would do this as part of a religious ceremony.\n']"
"#Q One of the earliest gold rushes was probably the Spanish search for the mythical city of El Dorado. According to early legends, the King of the Muiscas would do this as part of a religious ceremony.
",Cover himself with gold dust,"['#Q One of the earliest gold rushes was probably the Spanish search for the mythical city of El Dorado. According to early legends, the King of the Muiscas would do this as part of a religious ceremony.\n'
 '^ Cover himself with gold dust\n' 'A Drink liquid gold\n'
 'B Give away gold to everybody\n' 'C Cover himself with gold dust\n'
 'D Turn whatever he touches into gold\n']"
"#Q The nickname of Wisconsin, â€œBadger Stateâ€?, was given to it in irony, because no gold rushes occurred in the region.
",False,"['#Q The nickname of Wisconsin, â€œBadger Stateâ€?, was given to it in irony, because no gold rushes occurred in the region.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q Which of the following was NOT an Egyptian pharaoh?\n']"
"#Q Which of the following was NOT an Egyptian pharaoh?
",Imhotep,"['#Q Which of the following was NOT an Egyptian pharaoh?\n' '^ Imhotep\n'
 'A Akhenaten\n' 'B Imhotep\n' 'C Seti\n' 'D Ramses I\n']"
"#Q Which was the first Egyptian pyramid?
",The Step Pyramid,"['#Q Which was the first Egyptian pyramid?\n' '^ The Step Pyramid\n'
 'A The Red pyramid\n' 'B The Great pyramid\n' 'C The Bent Pyramid\n'
 'D The Step Pyramid\n']"
"#Q What was Cleopatras ethnic background?
",Macedonian,"['#Q What was Cleopatras ethnic background?\n' '^ Macedonian\n'
 'A Roman\n' 'B Macedonian\n' 'C Upper Egyptian\n' 'D Lower Egyptian\n']"
"#Q Who unified Upper and Lower Egypt?
",Menes,"['#Q Who unified Upper and Lower Egypt?\n' '^ Menes\n' 'A Thutmose III\n'
 'B Kahfre\n' 'C Imhotep\n' 'D Menes\n']"
"#Q Which of the following was referred to as the Gift of the Nile?
",Egypt,"['#Q Which of the following was referred to as the Gift of the Nile?\n'
 '^ Egypt\n' 'A The annual Nile flood\n' 'B Egypt\n'
 'C The development of writing\n' 'D The creation of civilization\n']"
"#Q Where is the Nile Delta located?
",Lower Egypt,"['#Q Where is the Nile Delta located?\n' '^ Lower Egypt\n'
 'A Lake Victoria in central Africa\n' 'B at the source of the river\n'
 'C Upper Egypt\n' 'D Lower Egypt\n']"
"#Q Who was the first king in history to foster a belief in one God?
",Akhenaten,"['#Q Who was the first king in history to foster a belief in one God?\n'
 '^ Akhenaten\n' 'A Tutankhamen\n' 'B Ramses II\n' 'C Akhenaten\n'
 'D Khufu\n']"
"#Q How many distinct kingdoms were there in Ancient Egypt?
",three,"['#Q How many distinct kingdoms were there in Ancient Egypt?\n'
 '^ three\n' 'A one\n' 'B four\n' 'C two\n' 'D three\n']"
"#Q Incestuous royal marriages were common in Ancient Egypt.
",True,"['#Q Incestuous royal marriages were common in Ancient Egypt.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Former Enron executive Kenneth Lay died of a heart attack at the age of 66 on July 5, 2006.\n']"
"#Q Former Enron executive Kenneth Lay died of a heart attack at the age of 66 on July 5, 2006.
",False,"['#Q Former Enron executive Kenneth Lay died of a heart attack at the age of 66 on July 5, 2006.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q On what day in July did the Space Shuttle Discovery touch down on Earth after a 13-day trip to the International Space Station?\n']"
"#Q On what day in July did the Space Shuttle Discovery touch down on Earth after a 13-day trip to the International Space Station?
","July 17, 2006","['#Q On what day in July did the Space Shuttle Discovery touch down on Earth after a 13-day trip to the International Space Station?\n'
 '^ July 17, 2006\n' 'A July 10, 2006\n' 'B July 17, 2006\n'
 'C July 11, 2006\n' 'D July 12, 2006\n']"
"#Q On what date in August did the Israeli and Hezbolah conflict end with a ceasefire?
","August 14, 2006","['#Q On what date in August did the Israeli and Hezbolah conflict end with a ceasefire?\n'
 '^ August 14, 2006\n' 'A August 20, 2006\n' 'B August 14, 2006\n'
 'C August 2, 2006\n' 'D August 8, 2006\n']"
"#Q On what date in September of 2006 did Steve Irwin the Crocodile Hunter die due to a stingray attack?
",September 4,"['#Q On what date in September of 2006 did Steve Irwin the Crocodile Hunter die due to a stingray attack?\n'
 '^ September 4\n' 'A September 4\n' 'B September 2\n' 'C September 6\n'
 'D September 8\n']"
"#Q This bagged vegetable was recalled on September 16, 2006 after E. coli affected people in 19 U. S. states.
",Spinach,"['#Q This bagged vegetable was recalled on September 16, 2006 after E. coli affected people in 19 U. S. states.\n'
 '^ Spinach\n' 'A Celery\n' 'B Spinach\n' 'C Carrots\n' 'D Lettuce\n']"
"#Q On October 9, 2006, this Internet company announced its purchase of the popular YouTube site?
",Google,"['#Q On October 9, 2006, this Internet company announced its purchase of the popular YouTube site?\n'
 '^ Google\n' 'A Amazon\n' 'B Ebay\n' 'C Yahoo\n' 'D Google\n']"
"#Q On October 19, 2006 Nissan Motor Company recalled 80,000 cars in U.S. due to what defects?
",in the ignition key,"['#Q On October 19, 2006 Nissan Motor Company recalled 80,000 cars in U.S. due to what defects?\n'
 '^ in the ignition key\n' 'A in the air bags\n' 'B in the ignition key\n'
 'C in the door locks\n' 'D in the seatbelts\n']"
"#Q Who was chosen to be the 2006 Time Magazines Person of the Year?
",You,"['#Q Who was chosen to be the 2006 Time Magazines Person of the Year?\n'
 '^ You\n' 'A Me\n' 'B You\n' 'C The Democrats\n' 'D George W. Bush\n']"
"#Q Who was the last Tsar of Russia, King of Poland and Grand Duke of Finland?
",Nicholas II,"['#Q Who was the last Tsar of Russia, King of Poland and Grand Duke of Finland?\n'
 '^ Nicholas II\n' 'A Alexander III\n' 'B Alexander II\n'
 'C Nicholas II\n' 'D Peter I\n']"
"#Q Which of these refers to the lower house of the Russian Parliament ?
",Duma,"['#Q Which of these refers to the lower house of the Russian Parliament ?\n'
 '^ Duma\n' 'A Duma\n' 'B Red House\n' 'C Reichstag\n' 'D Storting\n']"
"#Q During the Russian Revolution in 1917, which of these people belonged to the Mensheviks?
",Pavel Axelrod,"['#Q During the Russian Revolution in 1917, which of these people belonged to the Mensheviks?\n'
 '^ Pavel Axelrod\n' 'A Lev Kamenev\n' 'B Joseph Stalin\n'
 'C Pavel Axelrod\n' 'D Matvei Muranov\n']"
"#Q What was the title of Karl Marxs influential treatise on political economy, first published in 1867?
",Capital,"['#Q What was the title of Karl Marxs influential treatise on political economy, first published in 1867?\n'
 '^ Capital\n' 'A Crime and Punishment\n' 'B War and Peace\n'
 'C Capital\n' 'D Communism\n']"
"#Q In his testament, Lenin stated that he did not approve of Joseph Stalin having so much power and that he didnt want him to rule Russia.
",True,"['#Q In his testament, Lenin stated that he did not approve of Joseph Stalin having so much power and that he didnt want him to rule Russia.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q Bolshevik revolutionary and Marxist theorist Leon Trotsky was assassinated in which country?\n']"
"#Q Bolshevik revolutionary and Marxist theorist Leon Trotsky was assassinated in which country?
",Mexico,"['#Q Bolshevik revolutionary and Marxist theorist Leon Trotsky was assassinated in which country?\n'
 '^ Mexico\n' 'A France\n' 'B Mexico\n' 'C Bulgaria\n' 'D Russia\n']"
"#Q Alexander Kerensky was the first Prime Minister of the Russian Provisional Government in 1917.
",False,"['#Q Alexander Kerensky was the first Prime Minister of the Russian Provisional Government in 1917.\n'
 '^ False\n' 'A False\n' 'B True\n' '\n'
 '#Q During the Russian Revolution of 1917, which city was capital of Russia?\n']"
"#Q During the Russian Revolution of 1917, which city was capital of Russia?
",Saint Petersburg,"['#Q During the Russian Revolution of 1917, which city was capital of Russia?\n'
 '^ Saint Petersburg\n' 'A Volgograd\n' 'B Kiev\n' 'C Saint Petersburg\n'
 'D Moscow\n']"
"#Q In January of 2006, 12 miners were killed in the Sago Mine Disaster, which occurred in which U.S. state?
",West Virginia,"['#Q In January of 2006, 12 miners were killed in the Sago Mine Disaster, which occurred in which U.S. state?\n'
 '^ West Virginia\n' 'A Pennsylvania\n' 'B Virginia\n' 'C West Virginia\n'
 'D Ohio\n']"
"#Q On what date in January 2006 did legendary radio talk show host Howard Stern begin his much publicized satellite radio show on Sirius?
",9th,"['#Q On what date in January 2006 did legendary radio talk show host Howard Stern begin his much publicized satellite radio show on Sirius?\n'
 '^ 9th\n' 'A 9th\n' 'B 16th\n' 'C 4th\n' 'D 2nd\n']"
"#Q Which NFL team won Super Bowl XL on February 5, 2006?
",Pittsburgh Steelers,"['#Q Which NFL team won Super Bowl XL on February 5, 2006?\n'
 '^ Pittsburgh Steelers\n' 'A New England Patriots\n'
 'B Seattle Seahawks\n' 'C Philadelphia Eagles\n'
 'D Pittsburgh Steelers\n']"
"#Q In which European country were the 2006 Winter Olympics held?
",Italy,"['#Q In which European country were the 2006 Winter Olympics held?\n'
 '^ Italy\n' 'A Switzerland\n' 'B France\n' 'C Germany\n' 'D Italy\n']"
"#Q Was 2006 a leap (intercalary) year?
",No,"['#Q Was 2006 a leap (intercalary) year?\n' '^ No\n' 'A No\n' 'B Yes\n'
 '\n'
 '#Q Which film won the Best Picture award at the 2006 Academy Awards?\n']"
"#Q Which film won the Best Picture award at the 2006 Academy Awards?
",Crash,"['#Q Which film won the Best Picture award at the 2006 Academy Awards?\n'
 '^ Crash\n' 'A Brokeback Mountain\n' 'B Crash\n' 'C King Kong\n'
 'D March of the Penguins\n']"
"#Q The 2006 film See No Evil, released on May 19, stars what famous WWE wrestler?
",Kane,"['#Q The 2006 film See No Evil, released on May 19, stars what famous WWE wrestler?\n'
 '^ Kane\n' 'A Goldberg\n' 'B Undertaker\n' 'C Kane\n'
 'D Shawn Michaels\n']"
"#Q On May 28, 2006 Barry Bonds hit his 715th career homerun against which National League team?
",Colorado Rockies,"['#Q On May 28, 2006 Barry Bonds hit his 715th career homerun against which National League team?\n'
 '^ Colorado Rockies\n' 'A San Diego Padres\n' 'B New York Mets\n'
 'C Atalanta Braves\n' 'D Colorado Rockies\n']"
"#Q The North and South (between Maryland and Pennsylvania) were separated by what famous line?
",The Mason-Dixon Line,"['#Q The North and South (between Maryland and Pennsylvania) were separated by what famous line?\n'
 '^ The Mason-Dixon Line\n' 'A The Dixon Divide\n'
 'B The Underground Railroad\n' 'C The Line of Freedom\n'
 'D The Mason-Dixon Line\n']"
"#Q Which northern state was last to make slavery illegal?
",New Jersey,"['#Q Which northern state was last to make slavery illegal?\n'
 '^ New Jersey\n' 'A New York\n' 'B New Jersey\n' 'C Pennsylvania\n'
 'D They all made it illegal at the same time\n']"
"#Q Who was President of the USA when the Korean War began?
",Harry Truman,"['#Q Who was President of the USA when the Korean War began?\n'
 '^ Harry Truman\n' 'A Dwight Eisenhower\n' 'B Harry Truman\n'
 'C John Kennedy\n' 'D Franklin D. Roosevelt\n']"
"#Q Approximately how long was The Spanish-American War?
",3-4 months,"['#Q Approximately how long was The Spanish-American War?\n'
 '^ 3-4 months\n' 'A 2 years\n' 'B 3 years\n' 'C 11-12 months\n'
 'D 3-4 months\n']"
"#Q Which war, fought in the 20th century, is sometimes referred to as The Forgotten War?
",Korean War,"['#Q Which war, fought in the 20th century, is sometimes referred to as The Forgotten War?\n'
 '^ Korean War\n' 'A World War I\n' 'B Gulf War\n' 'C Korean War\n'
 'D Spanish-American War\n']"
"#Q The Cold War was one of the deadliest wars of all time.
",False,"['#Q The Cold War was one of the deadliest wars of all time.\n'
 '^ False\n' 'A True\n' 'B False\n' '\n'
 '#Q Which battle, fought in Europe during WWII, started on December 16, 1944?\n']"
"#Q Which battle, fought in Europe during WWII, started on December 16, 1944?
",Battle of the Bulge,"['#Q Which battle, fought in Europe during WWII, started on December 16, 1944?\n'
 '^ Battle of the Bulge\n' 'A Battle of the Bulge\n'
 'B Battle of Normandy (D-Day)\n' 'C Battle of Berlin\n'
 'D Battle of Stalingrad\n']"
"#Q In World War II, 80% of the deaths were on the Allied side.
",True,"['#Q In World War II, 80% of the deaths were on the Allied side.\n'
 '^ True\n' 'A False\n' 'B True\n' '\n'
 '#Q The United States gained almost half of the territory of Mexico after the Mexican War from 1846â€“1848.\n']"
"#Q The United States gained almost half of the territory of Mexico after the Mexican War from 1846â€“1848.
",True,"['#Q The United States gained almost half of the territory of Mexico after the Mexican War from 1846â€“1848.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q North Vietnamese troops entered this South Vietnamese city, marking the unofficial end to the Vietnam War in 1975.\n']"
"#Q North Vietnamese troops entered this South Vietnamese city, marking the unofficial end to the Vietnam War in 1975.
",Saigon,"['#Q North Vietnamese troops entered this South Vietnamese city, marking the unofficial end to the Vietnam War in 1975.\n'
 '^ Saigon\n' 'A Saigon\n' 'B Dong Nam Bo\n' 'C Vinh\n' 'D Nha Trang\n']"
"#Q What event sparked the beginning of the United States War on Terror?
",The terrorist attacks of September 11,"['#Q What event sparked the beginning of the United States War on Terror?\n'
 '^ The terrorist attacks of September 11\n'
 'A World Trade Center bombing of 1993\n'
 'B The terrorist attacks of September 11\n'
 'C George W. Bushs victory in the 2000 election\n' 'D None of these\n']"
"#Q Which of the following is the longest war in American history?
",Vietnam War,"['#Q Which of the following is the longest war in American history?\n'
 '^ Vietnam War\n' 'A Civil War\n' 'B Gulf War\n' 'C Vietnam War\n'
 'D American Revolution\n']"
"#Q The Allies and Axis were the two main opponent powers in the Second World War. Which of these leaders and his country were on the side of the Axis powers?
",Benito Mussolini,"['#Q The Allies and Axis were the two main opponent powers in the Second World War. Which of these leaders and his country were on the side of the Axis powers?\n'
 '^ Benito Mussolini\n' 'A Benito Mussolini\n'
 'B Franklin Delano Roosevelt\n' 'C Winston Churchill\n'
 'D Dwight Eisenhower\n']"
"#Q This politician was the British Prime Minister who declared war on Germany in 1939.
",Neville Chamberlain,"['#Q This politician was the British Prime Minister who declared war on Germany in 1939.\n'
 '^ Neville Chamberlain\n' 'A Winston Churchill\n'
 'B Neville Chamberlain\n' 'C Erwin Rommel\n' 'D Kurt Student\n']"
"#Q Operation Torch was planned to bring Morocco and Algiers under the Alliesâ€™ domination. Who was the general in charge of the operation?
",Dwight Eisenhower,"['#Q Operation Torch was planned to bring Morocco and Algiers under the Alliesâ€™ domination. Who was the general in charge of the operation?\n'
 '^ Dwight Eisenhower\n' 'A Paul Tibbets\n' 'B Chuichi Nagumo\n'
 'C Erwin Rommel\n' 'D Dwight Eisenhower\n']"
"#Q The attack on Pearl Harbour was carried out on December 7, 1941, causing the United States to enter the war on the side of the Allies. Who was president of the USA at that time?
",Franklin D. Roosevelt,"['#Q The attack on Pearl Harbour was carried out on December 7, 1941, causing the United States to enter the war on the side of the Allies. Who was president of the USA at that time?\n'
 '^ Franklin D. Roosevelt\n' 'A Winston Churchill\n'
 'B Theodore Roosevelt\n' 'C Franklin D. Roosevelt\n'
 'D William McKinley\n']"
"#Q Which of the following leaders was not present at  The Yalta Conference that took place in February 1945.
",Mao Zedong,"['#Q Which of the following leaders was not present at  The Yalta Conference that took place in February 1945.\n'
 '^ Mao Zedong\n' 'A Winston Churchill\n' 'B Franklin Roosevelt\n'
 'C Joseph Stalin\n' 'D Mao Zedong\n']"
"#Q This German military leader led the Sixth Army at the siege of Stalingrad. After months of siege, he was defeated and surrendered to the Russians.
",Friedrich Paulus,"['#Q This German military leader led the Sixth Army at the siege of Stalingrad. After months of siege, he was defeated and surrendered to the Russians.\n'
 '^ Friedrich Paulus\n' 'A Friedrich Paulus\n' 'B Karl Donitz\n'
 'C Joseph Goebbels\n' 'D Heinrich Himmler\n']"
"#Q In August 1944, the German forces in Paris surrendered to this French general who led a military unit from Normandy.
",Leclerc,"['#Q In August 1944, the German forces in Paris surrendered to this French general who led a military unit from Normandy.\n'
 '^ Leclerc\n' 'A Darlan\n' 'B Zedong\n' 'C Leclerc\n' 'D Patton\n']"
"#Q This major Nazi leader, called by his supporters â€œFuhrerâ€� (leader), committed suicide in his bunker on April 30, 1945 in order not to be caught by the Allied forces.
",Adolf Hitler,"['#Q This major Nazi leader, called by his supporters â€œFuhrerâ€� (leader), committed suicide in his bunker on April 30, 1945 in order not to be caught by the Allied forces.\n'
 '^ Adolf Hitler\n' 'A Adolf Hitler\n' 'B Friedrich Paulus\n'
 'C Reinhard Heydrich\n' 'D Benito Mussolini\n']"
"#Q During World War II, this politician was the powerful leader of the Soviet Union, the country which suffered a record death toll in the war.
",Joseph Stalin,"['#Q During World War II, this politician was the powerful leader of the Soviet Union, the country which suffered a record death toll in the war.\n'
 '^ Joseph Stalin\n' 'A Joseph Stalin\n' 'B Vyacheslav Molotov\n'
 'C Nikita Khruschev\n' 'D Leonid Brezhnev\n']"
"#Q This man became U.S. Secretary of State after the Second World War. He developed a reconstruction plan, later named after him, to help the European countries recover after the war.
",George Marshall,"['#Q This man became U.S. Secretary of State after the Second World War. He developed a reconstruction plan, later named after him, to help the European countries recover after the war.\n'
 '^ George Marshall\n' 'A F. D. Roosevelt\n' 'B George Marshall\n'
 'C Dwight Eisenhower\n' 'D Karl Donitz\n']"
"#Q In February 1992 this treaty was signed. It established the European Union.
",Maastricht Treaty,"['#Q In February 1992 this treaty was signed. It established the European Union.\n'
 '^ Maastricht Treaty\n' 'A Merger Treaty\n' 'B Maastricht Treaty\n'
 'C Treaty of Rome\n' 'D Treaty of Amsterdam\n']"
"#Q One of these historically influential political books was first published in February 1848. Its authors are Friedrich Engels and Karl Marx.
",The Communist Manifesto,"['#Q One of these historically influential political books was first published in February 1848. Its authors are Friedrich Engels and Karl Marx.\n'
 '^ The Communist Manifesto\n' 'A The Holy Family\n'
 'B The Communist Manifesto\n'
 'C Revolution and Counter-Revolution in Germany\n' 'D Das Kapital\n']"
"#Q In February 1997 the first movie without commercial interruption was shown on US TV. This is the movie.
",Schindlers List,"['#Q In February 1997 the first movie without commercial interruption was shown on US TV. This is the movie.\n'
 '^ Schindlers List\n' 'A Saving Private Ryan\n' 'B Schindlers List\n'
 'C Back to the Future\n' 'D The Civil War\n']"
"#Q The first book edition of the detective story, The Valley of Fear, was released in February 1915. This is its author.
",Sir Arthur Conan Doyle,"['#Q The first book edition of the detective story, The Valley of Fear, was released in February 1915. This is its author.\n'
 '^ Sir Arthur Conan Doyle\n' 'A Raymond Chandler\n' 'B Agatha Christie\n'
 'C Sir Arthur Conan Doyle\n' 'D Dashiell Hammett\n']"
"#Q In February of this year, the last episode of M*A*S*H was broadcast.
",1983,"['#Q In February of this year, the last episode of M*A*S*H was broadcast.\n'
 '^ 1983\n' 'A 1979\n' 'B 1985\n' 'C 1983\n' 'D 1974\n']"
"#Q The Battle of Stalingrad ended in February 1943.
",True,"['#Q The Battle of Stalingrad ended in February 1943.\n' '^ True\n'
 'A True\n' 'B False\n' '\n'
 '#Q In February 1924 President Woodrow Wilson died at this age.\n']"
"#Q In February 1924 President Woodrow Wilson died at this age.
",67,"['#Q In February 1924 President Woodrow Wilson died at this age.\n'
 '^ 67\n' 'A 41\n' 'B 67\n' 'C 82\n' 'D 70\n']"
"#Q In February 1952, the first Dont Walk sign was installed in this city.
",New York City,"['#Q In February 1952, the first Dont Walk sign was installed in this city.\n'
 '^ New York City\n' 'A Washington\n' 'B Chicago\n' 'C Los Angeles\n'
 'D New York City\n']"
"#Q The Yalta Conference ended in February 1945 . Do you know when it started?
",February 1945,"['#Q The Yalta Conference ended in February 1945 . Do you know when it started?\n'
 '^ February 1945\n' 'A December 1944\n' 'B February 1945\n'
 'C January 1945\n' 'D November 1944\n']"
"#Q The English director Alfred Hitchcocks first suspense film was released in February 1927. This was the name of the movie.
",The Lodger,"['#Q The English director Alfred Hitchcocks first suspense film was released in February 1927. This was the name of the movie.\n'
 '^ The Lodger\n' 'A The Manxman\n' 'B Murder!\n' 'C The Lodger\n'
 'D The 39 Steps\n']"
"#Q The greatest fame for this actress, who passed away in 2000, came when she starred as Margaret Pynchon opposite Edward Asner in Lou Grant.
",Nancy Marchand,"['#Q The greatest fame for this actress, who passed away in 2000, came when she starred as Margaret Pynchon opposite Edward Asner in Lou Grant.\n'
 '^ Nancy Marchand\n' 'A Nancy Marchand\n' 'B Nancy Sinatra\n'
 'C Nancy Reagan\n' 'D Nancy Walker\n']"
"#Q What star of Willowâ€�  who passed away in 2000, founded the organization Little People of America in 1957?
",Billy Barty,"['#Q What star of Willowâ€�  who passed away in 2000, founded the organization Little People of America in 1957?\n'
 '^ Billy Barty\n' 'A Jerald Laverne\n' 'B Jerry Lavish\n'
 'C Billy Marty\n' 'D Billy Barty\n']"
"#Q This actor, who died in 2000, played the role of Major Frank Burns on the TV series M.A.S.H.
",Larry Linville,"['#Q This actor, who died in 2000, played the role of Major Frank Burns on the TV series M.A.S.H.\n'
 '^ Larry Linville\n' 'A Harry Morgan\n' 'B Larry Gelbert\n'
 'C Alan Alda\n' 'D Larry Linville\n']"
"#Q His first film role was The Kentuckian. His Broadway appearance in Neil Simons Odd Couple launched his career, but many remember him as one of the Grumpy Old Men. Who was this great actor?
",Walter Mattheau,"['#Q His first film role was The Kentuckian. His Broadway appearance in Neil Simons Odd Couple launched his career, but many remember him as one of the Grumpy Old Men. Who was this great actor?\n'
 '^ Walter Mattheau\n' 'A Jack Lemmon\n' 'B Burgess Meredith\n'
 'C Ozzie Davis\n' 'D Walter Mattheau\n']"
"#Q American cartoonist and creator of the comic strip Peanuts, Charles Schulz died in 2000.
",True,"['#Q American cartoonist and creator of the comic strip Peanuts, Charles Schulz died in 2000.\n'
 '^ True\n' 'A True\n' 'B False\n' '\n'
 '#Q He made films from 1916 to 1939 and was married to Joan Crawford. His fathers name helped him launch his career, however Charlie Chaplin took a liking to him and the rest is history. What is the name of this actor who passed away in 2000?\n']"
"#Q He made films from 1916 to 1939 and was married to Joan Crawford. His fathers name helped him launch his career, however Charlie Chaplin took a liking to him and the rest is history. What is the name of this actor who passed away in 2000?
",Douglas Fairbanks Jr.,"['#Q He made films from 1916 to 1939 and was married to Joan Crawford. His fathers name helped him launch his career, however Charlie Chaplin took a liking to him and the rest is history. What is the name of this actor who passed away in 2000?\n'
 '^ Douglas Fairbanks Jr.\n' 'A Clark Gable\n' 'B Spencer Tracy\n'
 'C Douglas Fairbanks Jr.\n' 'D Buster Keaton\n']"
"#Q In what year did the following events take place: Jonas Salk began testing his polio vaccine on volunteers, including his wife, his children and himself. The first animal, a tadpole, was cloned. The New York Yankees defeated the Brooklyn Dodgers in the World Series.
",1952,"['#Q In what year did the following events take place: Jonas Salk began testing his polio vaccine on volunteers, including his wife, his children and himself. The first animal, a tadpole, was cloned. The New York Yankees defeated the Brooklyn Dodgers in the World Series.\n'
 '^ 1952\n' 'A 1956\n' 'B 1950\n' 'C 1952\n' 'D 1954\n']"
"#Q Which one of these events did not happen in the same year as the others?
","Barry Gordy, Jr. invested $700 in founding Motown Records","['#Q Which one of these events did not happen in the same year as the others?\n'
 '^ Barry Gordy, Jr. invested $700 in founding Motown Records\n'
 'A The novel Peyton Place was published\n'
 'B Barry Gordy, Jr. invested $700 in founding Motown Records\n'
 'C Allen Ginsberg publishes the book Howl and Other Poems\n'
 'D Elvis Presley recorded the song Hound Dog\n']"
"#Q Who was the first person to be U.S. President of 50 states?
",Eisenhower,"['#Q Who was the first person to be U.S. President of 50 states?\n'
 '^ Eisenhower\n' 'A Kennedy\n' 'B Nixon\n' 'C Eisenhower\n' 'D Truman\n']"
"#Q Which of these events did not occur in 1957?
",Sputnik III was launched and circled the Earth eleven times.,"['#Q Which of these events did not occur in 1957?\n'
 '^ Sputnik III was launched and circled the Earth eleven times.\n'
 'A Sputnik III was launched and circled the Earth eleven times.\n'
 'B Leave It to Beaver, a TV show about  idyllic American life, first aired.\n'
 'C Charles Van Doren won $129,000 on the TV show Twenty-One.\n'
 'D The great Jackie Robinson retired from baseball\n']"
"#Q Who commanded the three B-52 Stratofortresses which made the first globe-circling nonstop flight in 1957?
",Major General Archie J. Old,"['#Q Who commanded the three B-52 Stratofortresses which made the first globe-circling nonstop flight in 1957?\n'
 '^ Major General Archie J. Old\n' 'A Major General Archie J. Old\n'
 'B Lt. Col. Alan Shepard\n' 'C Col. Carl  V. Jaeger\n'
 'D General William W. Donavan\n']"
"#Q Which list contains only countries which formed the European Economic Community?
","France, West Germany, Italy, The Netherlands, Belgium, and Luxembourg","['#Q Which list contains only countries which formed the European Economic Community?\n'
 '^ France, West Germany, Italy, The Netherlands, Belgium, and Luxembourg\n'
 'A Spain, France, Austria, West Germany, Finland, and Portugal\n'
 'B Denmark, Sweden, The Netherlands, England, Belgium, and Luxembourg\n'
 'C Sweden, France, Italy, Austria, West Germany, and Spain\n'
 'D France, West Germany, Italy, The Netherlands, Belgium, and Luxembourg\n']"
"#Q Which Ohio-born singer was famous with the hits Music! Music! Music!, Molasses, Molasses, and Youll Never Get Away?
",Teresa Brewer,"['#Q Which Ohio-born singer was famous with the hits Music! Music! Music!, Molasses, Molasses, and Youll Never Get Away?\n'
 '^ Teresa Brewer\n' 'A Shelly Fabres\n' 'B Teresa Brewer\n'
 'C Brenda Lee\n' 'D Connie Francis\n']"
"#Q Which of these events did not  happen in 1950?
",General Dwight D. Eisenhower is elected President.,"['#Q Which of these events did not  happen in 1950?\n'
 '^ General Dwight D. Eisenhower is elected President.\n'
 'A CBS got an FCC license to broadcast in color nation-wide.\n'
 'B Both Pillsbury and general Mills begin selling cake mixes.\n'
 'C Charles Schultz introduces Peanuts .\n'
 'D General Dwight D. Eisenhower is elected President.\n']"
"#Q Which one of these events did not happen in 1955?
",The Korean War is formally ended.,"['#Q Which one of these events did not happen in 1955?\n'
 '^ The Korean War is formally ended.\n'
 'A The McGuire Sisters have a #1 hit with Sincerely.\n'
 'B Rosa Parks refuses to give up her seat to a white woman in Montgomery, Alabama.\n'
 'C The Korean War is formally ended.\n'
 'D The American Federation of Labor and the Congress of Industrial Organizations merged\n']"
