Problem,Rationale,options,correct,annotated_formula,linear_formula,category
"if the average ( arithmetic mean ) of a and b is 210 , and the average of b and c is 160 , what is the value of a − c ?","""question : a - c = ? ( a + b ) / 2 = 210 = = = > a + b = 420 ( b + c ) / 2 = 160 = = = > b + c = 320 ( a + b ) - ( b + c ) = 420 - 320 = = = > a + b - b - c = 100 = = = > a - c = 100 answer : c""","a ) − 220 , b ) − 100 , c ) 100 , d ) 135 , e ) it can not be determined from the information given",c,"subtract(multiply(const_60.0, const_2), multiply(210, const_2))","multiply(const_60.0,const_2)|multiply(n0,const_2)|subtract(#0,#1)|",general
calculate 469158 x 9999 = ?,"""answer 469158 x 9999 = 469157 x ( 10000 - 1 ) = 4691580000 - 469158 = 4691110842 . option : e""","a ) 4586970843 , b ) 4686970743 , c ) 4691100843 , d ) 4586870843 , e ) 4691110842",e,"multiply(469158, 9999)","multiply(n0,n1)|",general
33 1 / 3 % of 210 ?,"""33 1 / 3 % = 1 / 3 1 / 3 × 210 = 70 a )""","a ) 70 , b ) 90 , c ) 110 , d ) 120 , e ) 130",a,"divide(multiply(add(33, divide(1, 3)), 210), const_100)","divide(n1,n2)|add(n0,#0)|multiply(n3,#1)|divide(#2,const_100)|",gain
"on a certain transatlantic crossing , 20 percent of a ship ' s passengers held round - trip tickets and also took their cars abroad the ship . if 40 percent of the passengers with round - trip tickets did not take their cars abroad the ship , what percent of the ship ' s passengers held round - trip tickets ?","""0.20 p = rt + c 0.4 ( rt ) = no c = > 0.60 ( rt ) had c 0.20 p = 0.60 ( rt ) rt / p = 1 / 3 = 33 % answer - a""","a ) 33.3 % , b ) 40 % , c ) 50 % , d ) 60 % , e ) 66.6 %",a,"divide(20, divide(subtract(const_100, 40), const_100))","subtract(const_100,n1)|divide(#0,const_100)|divide(n0,#1)|",gain
"a man has some hens and cows . if the number of heads be 48 and the number of feet equals 136 , then the number of hens will be :","""let hens be x and cows be y now , feet : x * 2 + y * 4 = 136 heads : x * 1 + y * 1 = 48 implies , 2 x + 4 y = 136 and x + y = 48 solving these two equations , we get x = 28 and y = 20 therefore , hens are 28 . answer : e""","a ) 22 , b ) 23 , c ) 24 , d ) 26 , e ) 28",e,"divide(subtract(multiply(48, const_4), 136), const_2)","multiply(n0,const_4)|subtract(#0,n1)|divide(#1,const_2)|",general
"hillary and eddy are climbing to the summit of mt . everest from a base camp 5,100 ft from the summit . when they depart for the summit at 06 : 00 , hillary climbs at a rate of 800 ft / hr with eddy lagging behind at a slower rate of 500 ft / hr . if hillary stops 1100 ft short of the summit and then descends at a rate of 1,000 ft / hr , at what time do hillary and eddy pass each other on her return trip ?","""solution : h stopped 800 ft before reaching the final point , time taken to reach 4000 ft = 4000 / 800 = 5 hrs . this means she reached there at 11 : 00 . speed difference between them is 800 - 500 = 300 ft / hr so by the time h stops they have 1500 ft of distance so now here we use relative speed formula they both are travelling toward each other with speed of 1000 and 500 total 1500 ft / hr and distance between them is 1500 ft so time taken to meet = 1 hr from 11 : 00 means 12 : 00 is the answer . e""","a ) 14.0 , b ) 9.0 , c ) 10.0 , d ) 11.0 , e ) 12.0",e,"add(06, add(divide(multiply(divide(subtract(divide(500, const_100), const_1), divide(800, 1100)), subtract(divide(800, 1100), divide(500, 1100))), add(divide(500, 1100), const_1)), divide(subtract(divide(500, const_100), const_1), divide(800, 1100))))","divide(n4,const_100)|divide(n3,n5)|divide(n4,n5)|add(#2,const_1)|subtract(#0,const_1)|subtract(#1,#2)|divide(#4,#1)|multiply(#6,#5)|divide(#7,#3)|add(#8,#6)|add(n1,#9)|",general
an error 6 % in excess is made while measuring the side of a square . the percentage of error in the calculated area of the square is,"""100 cm is read as 102 cm . a 1 = ( 100 x 100 ) cm 2 and a 2 ( 106 x 106 ) cm 2 . ( a 2 - a 1 ) = [ ( 106 ) 2 - ( 100 ) 2 ] = ( 106 + 100 ) x ( 106 - 100 ) = 1236 cm 2 . percentage error = 12.36 % d""","a ) 12.04 % , b ) 14.14 % , c ) 12.36 % , d ) 12.26 % , e ) 15.5 %",d,"divide(multiply(subtract(square_area(add(const_100, 6)), square_area(const_100)), const_100), square_area(const_100))","add(n0,const_100)|square_area(const_100)|square_area(#0)|subtract(#2,#1)|multiply(#3,const_100)|divide(#4,#1)|",gain
a train 360 m long is running at a speed of 45 km / hr . in what time will it pass a bridge 190 m long ?,"""speed = 45 * 5 / 18 = 25 / 2 m / sec total distance covered = 360 + 190 = 550 m required time = 550 * 2 / 25 = 44 sec answer : c""","a ) 40 sec , b ) 42 sec , c ) 44 sec , d ) 48 sec , e ) 50 sec",c,"divide(360, multiply(subtract(45, 190), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics
"in a division sum , the remainder is 6 and the divisor is 5 times the quotient and is obtained by adding 2 to the thrice of the remainder . the dividend is :","""divisor = ( 6 * 3 ) + 2 = 20 5 * quotient = 20 quotient = 4 . dividend = ( divisor * quotient ) + remainder dividend = ( 20 * 4 ) + 6 = 86 . a""","a ) 86 , b ) 88 , c ) 92 , d ) 94 , e ) 96",a,"add(multiply(add(multiply(6, const_3), 2), divide(add(multiply(6, const_3), 2), 5)), 6)","multiply(n0,const_3)|add(n2,#0)|divide(#1,n1)|multiply(#1,#2)|add(n0,#3)|",general
"a man is 22 years older than his son . in two years , his age will be twice the age of his son . the present age of this son is","""explanation : let ' s son age is x , then father age is x + 22 . = > 2 ( x + 2 ) = ( x + 22 + 2 ) = > 2 x + 4 = x + 24 = > x = 20 years option c""","a ) 21 years , b ) 22 years , c ) 20 years , d ) 24 years , e ) 26 years",c,"divide(subtract(22, subtract(multiply(const_2, const_2), const_2)), subtract(const_2, const_1))","multiply(const_2,const_2)|subtract(const_2,const_1)|subtract(#0,const_2)|subtract(n0,#2)|divide(#3,#1)|",general
a train 55 meters long is running with a speed of 60 kmph . in what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going ?,"""speed of train relative to man = ( 60 + 6 ) km / hr = 66 km / hr [ 66 * 5 / 18 ] m / sec = [ 55 / 3 ] m / sec . time taken to pass the man = [ 55 * 3 / 55 ] sec = 3 sec answer : e""","a ) 7 sec , b ) 5 sec , c ) 4 sec , d ) 6 sec , e ) 3 sec",e,"multiply(const_3600, divide(divide(55, const_1000), add(60, 6)))","add(n1,n2)|divide(n0,const_1000)|divide(#1,#0)|multiply(#2,const_3600)|",physics
"how long will a boy take to run round a square field of side 60 meters , if he runs at the rate of 12 km / hr ?","""speed = 12 km / hr = 12 * 5 / 18 = 10 / 3 m / sec distance = 60 * 4 = 240 m time taken = 240 * 3 / 10 = 72 sec answer is c""","a ) 52 sec , b ) 45 sec , c ) 72 sec , d ) 25 sec , e ) 39 sec",c,"divide(multiply(60, const_4), multiply(12, divide(const_1000, const_3600)))","divide(const_1000,const_3600)|multiply(n0,const_4)|multiply(n1,#0)|divide(#1,#2)|",gain
"in a market , a dozen eggs cost as much as a pound of rice , and a half - liter of kerosene costs as much as 6 eggs . if the cost of each pound of rice is $ 0.24 , then how many cents does a liter of kerosene cost ? [ one dollar has 100 cents . ]","""a dozen eggs cost as much as a pound of rice - - > 12 eggs = 1 pound of rice = 24 cents ; a half - liter of kerosene costs as much as 6 eggs - - > 6 eggs = 1 / 2 liters of kerosene . how many cents does a liter of kerosene cost - - > 1 liter of kerosene = 12 eggs = 12 / 12 * 24 = 24 cents . answer : d .""","a ) 0.20 , b ) 0.24 , c ) 20 , d ) 24 , e ) 55",d,"multiply(divide(divide(6, divide(const_1, const_2)), const_12), multiply(0.24, 100))","divide(const_1,const_2)|multiply(n1,n2)|divide(n0,#0)|divide(#2,const_12)|multiply(#3,#1)|",general
murali travelled from city a to city b at a speed of 40 kmph and from city b to city c at 60 kmph . what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 1 : 2 ? a . 48 kmph,let the distances between city a to b and b to c be x km and 2 x km respectively . total time taken to cover from a to c = ( x ) / 40 + ( 2 x ) / 60 = ( 3 x + 4 x ) / 120 = 7 x / 120 average speed = ( x + 2 x ) / ( 7 x / 120 ) = 360 / 7 kmph . answer : b,"a ) 33 , b ) 360 / 7 , c ) 28 , d ) 27 / 8 , e ) 16",b,"divide(add(40, 60), 2)","add(n0,n1)|divide(#0,n3)",physics
"a ’ s speed is 30 / 17 times that of b . if a and b run a race , what part of the length of the race should a give b as a head start , so that the race ends in a dead heat ?","""we have the ratio of a ’ s speed and b ’ s speed . this means , we know how much distance a covers compared with b in the same time . this is what the beginning of the race will look like : ( start ) a _________ b ______________________________ if a covers 30 meters , b covers 17 meters in that time . so if the race is 30 meters long , when a reaches the finish line , b would be 13 meters behind him . if we want the race to end in a dead heat , we want b to be at the finish line too at the same time . this means b should get a head start of 13 meters so that he doesn ’ t need to cover that . in that case , the time required by a ( to cover 30 meters ) would be the same as the time required by b ( to cover 17 meters ) to reach the finish line . so b should get a head start of 13 / 30 th of the race . answer ( b )""","a ) 1 / 17 , b ) 13 / 30 , c ) 17 / 30 , d ) 11 / 30 , e ) 11 / 13",b,"divide(subtract(30, 17), 30)","subtract(n0,n1)|divide(#0,n0)|",general
"a cycle is bought for rs . 670 and sold for rs . 780 , find the gain percent ?","""explanation : 670 - - - - 110 100 - - - - ? = > 16 % answer : c""","a ) 70 % , b ) 20 % , c ) 16 % , d ) 19 % , e ) 80 %",c,"multiply(divide(subtract(780, 670), 670), const_100)","subtract(n1,n0)|divide(#0,n0)|multiply(#1,const_100)|",gain
"the cost of 10 kg of mangos is equal to the cost of 24 kg of rice . the cost of 6 kg of flour equals the cost of 2 kg of rice . the cost of each kg of flour is $ 22 . find the total cost of 4 kg of mangos , 3 kg of rice and 5 kg of flour ?","""let the costs of each kg of mangos and each kg of rice be $ a and $ r respectively . 10 a = 24 r and 6 * 22 = 2 r a = 12 / 5 r and r = 66 a = 158.4 required total cost = 4 * 158.4 + 3 * 66 + 5 * 22 = 633.6 + 198 + 110 = $ 941.60 c""","a ) 347.6 , b ) 987.6 , c ) 941.6 , d ) 637.6 , e ) 667.6",c,"add(add(multiply(4, multiply(divide(24, 10), divide(multiply(22, 6), 2))), multiply(3, divide(multiply(22, 6), 2))), multiply(5, 22))","divide(n1,n0)|multiply(n2,n4)|multiply(n4,n7)|divide(#1,n3)|multiply(#0,#3)|multiply(n6,#3)|multiply(n5,#4)|add(#6,#5)|add(#7,#2)|",general
a shopkeeper sold an article offering a discount of 5 % and earned a profit of 20.65 % . what would have been the percentage of profit earned if no discount was offered ?,"""let c . p . be rs . 100 . then , s . p . = rs . 120.65 let marked price be rs . x . then , 95 / 100 x = 120.65 x = 12065 / 95 = rs . 127 now , s . p . = rs . 127 , c . p . = rs . 100 profit % = 27 % . answer : b""","a ) 60 % , b ) 27 % , c ) 30 % , d ) 56 % , e ) 73 %",b,"subtract(divide(multiply(add(const_100, 20.65), const_100), subtract(const_100, 5)), const_100)","add(n1,const_100)|subtract(const_100,n0)|multiply(#0,const_100)|divide(#2,#1)|subtract(#3,const_100)|",gain
two goods trains each 500 m long are running in opposite directions on parallel tracks . their speeds are 90 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,"""relative speed = 90 + 30 = 120 km / hr . 120 * 5 / 18 = 100 / 3 m / sec . distance covered = 500 + 500 = 1000 m . required time = 1000 * 3 / 100 = 30 sec . answer : c""","a ) 12 sec , b ) 24 sec , c ) 30 sec , d ) 60 sec , e ) 62 sec",c,"add(90, 30)","add(n1,n2)|",physics
john was thrice as old as tom 6 years ago . john will be 7 / 5 times as old as tom in 6 years . how old is tom today ?,"""j - 6 = 3 ( t - 6 ) , so j = 3 t - 12 j + 6 = 7 / 5 * ( t + 6 ) 5 j + 30 = 7 t + 42 5 ( 3 t - 12 ) + 30 = 7 t + 42 8 t = 72 t = 9 the answer is b .""","a ) 7 , b ) 9 , c ) 11 , d ) 13 , e ) 15",b,"multiply(6, divide(7, 5))","divide(n1,n2)|multiply(n0,#0)|",general
"workers at a campaign office have 2000 fliers to send out . if they send out 1 / 10 of them in the morning and 1 / 4 of the remaining ones out during the afternoon , how many are left for the next day ?","""( 1 / 10 ) * 2000 = 200 remaining = 2000 - 200 = 1800 ( 1 / 4 ) of remaining = ( 1 / 4 ) * 1800 = 450 remaining now = 1800 - 450 = 1350 answer : option b""","a ) 300 , b ) 1350 , c ) 1100 , d ) 1200 , e ) 1900",b,"subtract(subtract(2000, divide(2000, 10)), divide(subtract(2000, divide(2000, 10)), 4))","divide(n0,n2)|subtract(n0,#0)|divide(#1,n4)|subtract(#1,#2)|",physics
"three pipes a , b and c can fill a tank from empty to full in 20 minutes , 20 minutes and 30 minutes respectively . when the tank is empty , all the three pipes are opened . a , b and c discharge chemical solutions p , q and r respectively . what is the proportion of solution q in the liquid in the tank after 3 minutes ?","""part filled by ( a + b + c ) in 3 minutes = 3 ( 1 / 20 + 1 / 20 + 1 / 30 ) = 6 / 15 part filled by b in 3 minutes = 3 / 20 required ratio = 3 / 20 * 15 / 6 = 3 / 8 answer : e""","a ) 5 / 8 , b ) 6 / 8 , c ) 4 / 8 , d ) 2 / 8 , e ) 3 / 8",e,"multiply(divide(3, 30), divide(const_1, multiply(3, add(divide(const_1, 30), add(divide(const_1, 20), divide(const_1, 20))))))","divide(n3,n2)|divide(const_1,n0)|divide(const_1,n2)|add(#1,#1)|add(#3,#2)|multiply(n3,#4)|divide(const_1,#5)|multiply(#0,#6)|",physics
"when x is even , [ x ] = x / 2 + 1 , when x is odd [ x ] = 2 x + 1 then [ 5 ] * [ 4 ] = ?","""[ 5 ] * [ 4 ] = ( 2 * 5 + 1 ) ( 4 / 2 + 1 ) = [ 33 ] . ans - a""","a ) [ 33 ] , b ) [ 44 ] , c ) [ 45 ] , d ) [ 88 ] , e ) [ 90 ]",a,"multiply(add(divide(5, 2), 1), add(multiply(2, 4), 1))","divide(n4,n0)|multiply(n0,n5)|add(#0,n1)|add(#1,n1)|multiply(#2,#3)|",general
765 chairs are to be arranged in a column in such a way that the number of chairs in each column should be equal to the columns . how many chairs will be excluded to make this arrangement possible ?,27 ( 2 ) < 765 < 28 ( 2 ) ∴ required no . of chairs to be excluded = 765 – 729 = 36 answer b,"a ) 6 , b ) 36 , c ) 19 , d ) 27 , e ) none of these",b,"subtract(765, subtract(subtract(subtract(765, const_12), const_12), const_12))","subtract(n0,const_12)|subtract(#0,const_12)|subtract(#1,const_12)|subtract(n0,#2)",general
a mobile battery in 1 hour charges to 20 percent . how much time ( in minute ) will it require more to charge to 40 percent .,1 hr = 20 percent . thus 15 min = 5 percent . now to charge 40 percent 120 min . answer : a,"a ) 120 , b ) 150 , c ) 175 , d ) 160 , e ) 130",a,"multiply(divide(40, 20), const_60)","divide(n2,n1)|multiply(#0,const_60)|",physics
if a lends rs . 3500 to b at 10 % per annum and b lends the same sum to c at 11 % per annum then the gain of b in a period of 3 years is ?,"""( 3500 * 1 * 3 ) / 100 = > 105 answer : c""","a ) 110 , b ) 106 , c ) 105 , d ) 107 , e ) 109",c,"subtract(divide(multiply(multiply(3500, 11), 3), const_100), divide(multiply(multiply(3500, 10), 3), const_100))","multiply(n0,n2)|multiply(n0,n1)|multiply(#0,n3)|multiply(n3,#1)|divide(#2,const_100)|divide(#3,const_100)|subtract(#4,#5)|",gain
"x and y began business with rs . 10000 and rs . 8000 after 6 months , x advances rs . 2000 and y advances rs . 2000 more . at the end of the year , their profits amounted to rs . 2000 find the share of x and y respectively .","( 10 * 6 + 12 * 6 ) : ( 8 * 6 + 10 * 6 ) 11 : 9 x share = 11 / 20 * 2000 = 1100 . y share = 9 / 20 * 2000 = 900 . x and y share respectively is 1100 , 900 . answer : e","a ) 10001000 , b ) 9001100 , c ) 1200800 , d ) 8001200 , e ) 1100 , 900",e,"multiply(divide(divide(add(multiply(10000, 6), multiply(add(10000, 2000), 6)), gcd(add(multiply(10000, 6), multiply(add(10000, 2000), 6)), add(multiply(8000, 6), multiply(add(8000, add(2000, 2000)), 6)))), add(divide(add(multiply(10000, 6), multiply(add(10000, 2000), 6)), gcd(add(multiply(10000, 6), multiply(add(10000, 2000), 6)), add(multiply(8000, 6), multiply(add(8000, add(2000, 2000)), 6)))), divide(add(multiply(8000, 6), multiply(add(8000, add(2000, 2000)), 6)), gcd(add(multiply(10000, 6), multiply(add(10000, 2000), 6)), add(multiply(8000, 6), multiply(add(8000, add(2000, 2000)), 6)))))), 2000)","add(n0,n3)|add(n3,n3)|multiply(n0,n2)|multiply(n1,n2)|add(n1,#1)|multiply(n2,#0)|add(#2,#5)|multiply(n2,#4)|add(#3,#7)|gcd(#6,#8)|divide(#6,#9)|divide(#8,#9)|add(#10,#11)|divide(#10,#12)|multiply(n3,#13)",general
"in a group of ducks and cows , the total number of legs are 30 more than twice the no . of heads . find the total no . of buffaloes .","""let the number of buffaloes be x and the number of ducks be y = > 4 x + 2 y = 2 ( x + y ) + 30 = > 2 x = 30 = > x = 15 d""","a ) 11 , b ) 12 , c ) 14 , d ) 15 , e ) 18",d,"divide(30, const_2)","divide(n0,const_2)|",general
the l . c . m of two numbers is 48 . the numbers are in the ratio 1 : 2 . the sum of numbers is :,"""let the numbers be 1 x and 2 x . then , their l . c . m = 2 x . so , 2 x = 48 or x = 24 . the numbers are 24 and 48 . hence , required sum = ( 24 + 48 ) = 72 . answer : e""","a ) 28 , b ) 30 , c ) 40 , d ) 50 , e ) 72",e,"divide(multiply(1, 48), 2)","multiply(n0,n1)|divide(#0,n2)|",other
"a certain fraction has the same ratio to 1 / 36 , as 4 / 7 does to 5 / 9 . what is this certain fraction ?",x / ( 1 / 36 ) = ( 4 / 7 ) / ( 5 / 9 ) x = 4 * 9 * 1 / 36 * 7 * 5 = 1 / 35 the answer is a .,"a ) 1 / 35 , b ) 1 / 42 , c ) 1 / 49 , d ) 1 / 56 , e ) 1 / 63",a,"divide(1, 36)","divide(n0,n1)",other
there are 780 male and female participants in a meeting . half the female participants and one - quarter of the male participants are democrats . one - third of all the participants are democrats . how many of the democrats are female ?,"""female = x male = 780 - x x / 2 + 780 - x / 4 = 1 / 3 * ( 780 ) = 260 x = 260 x / 2 = 130 is supposed to be the answer m is missing something correct option d""","a ) 75 , b ) 100 , c ) 125 , d ) 130 , e ) 225",d,"divide(subtract(multiply(divide(780, const_3), const_4), 780), const_2)","divide(n0,const_3)|multiply(#0,const_4)|subtract(#1,n0)|divide(#2,const_2)|",general
two goods trains each 2000 m long are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,"""relative speed = 45 + 30 = 75 km / hr . 75 * 5 / 18 = 125 / 6 m / sec . distance covered = 2000 + 2000 = 4000 m . required time = 4000 * 6 / 125 = 192 sec . answer : c""","a ) 228 , b ) 278 , c ) 192 , d ) 27 , e ) 21",c,"add(45, 30)","add(n1,n2)|",physics
what sum of money will produce rs . 70 as simple interest in 4 years at 3 1 / 2 percent ?,"""70 = ( p * 4 * 7 / 2 ) / 100 p = 500 answer : b""","a ) 289 , b ) 500 , c ) 188 , d ) 666 , e ) 155",b,"divide(70, divide(multiply(4, add(3, divide(1, 2))), const_100))","divide(n3,n4)|add(n2,#0)|multiply(n1,#1)|divide(#2,const_100)|divide(n0,#3)|",gain
"a man is 34 years older than his son . in two years , his age will be twice the age of his son . the present age of the son is ?","""let the son ' s present age be x years . then , man ' s present age = ( x + 24 ) years . ( x + 34 ) + 2 = 2 ( x + 2 ) x + 36 = 2 x + 4 = > x = 32 . answer : d""","a ) 16 , b ) 19 , c ) 15 , d ) 32 , e ) 40",d,"divide(subtract(34, subtract(multiply(const_2, const_2), const_2)), subtract(const_2, const_1))","multiply(const_2,const_2)|subtract(const_2,const_1)|subtract(#0,const_2)|subtract(n0,#2)|divide(#3,#1)|",general
a jogger running at 9 km / hr along side a railway track is 240 m ahead of the engine of a 130 m long train running at 45 km / hr in the same direction . in how much time will the train pass the jogger ?,"""speed of train relative to jogger = 45 - 9 = 36 km / hr . = 36 * 5 / 18 = 10 m / sec . distance to be covered = 240 + 120 = 370 m . time taken = 370 / 10 = 37 sec . answer : c""","a ) 28 sec , b ) 16 sec , c ) 37 sec , d ) 18 sec , e ) 17 sec",c,"divide(add(240, 130), multiply(subtract(45, 9), divide(divide(const_10, const_2), divide(subtract(45, 9), const_2))))","add(n1,n2)|divide(const_10,const_2)|subtract(n3,n0)|divide(#2,const_2)|divide(#1,#3)|multiply(#4,#2)|divide(#0,#5)|",general
a train running at a speed of 36 km / h passes an electric pole in 14 seconds . in how many seconds will the whole train pass a 360 - meter long platform ?,"""let the length of the train be x meters . when a train crosses an electric pole , the distance covered is its own length x . speed = 36 km / h = 36000 m / 3600 s = 10 m / s x = 14 * 10 = 140 m . the time taken to pass the platform = ( 140 + 360 ) / 10 = 50 seconds the answer is d .""","a ) 44 , b ) 46 , c ) 48 , d ) 50 , e ) 52",d,"divide(add(multiply(multiply(36, const_0_2778), 14), 360), multiply(36, const_0_2778))","multiply(n0,const_0_2778)|multiply(n1,#0)|add(n2,#1)|divide(#2,#0)|",physics
"if n is a positive integer and n ^ 2 is divisible by 72 , then the largest positive integer m that must divide n is ?","""q : if n is a positive integer and n ^ 2 is divisible by 72 , then the largest positive integer m that must divide n is : a 6 , b 12 , c 24 , d 36 , e 48 n ^ 2 is divisible by 72 , but it must also be greater than 72 . if n is an integer , then n ^ 2 must be a perfect square . the factorization of 72 is ( 8 ) ( 9 ) , so if it is multiplied by 2 , it will be ( 2 ) ( 8 ) ( 9 ) = ( 16 ) ( 9 ) = 144 , a perfect square . so n ^ 2 must be at least 144 or a multiple of 144 , which means that n must be 12 or a multiple of 12 . b""","a ) 6 , b ) 12 , c ) 24 , d ) 36 , e ) 48",b,"multiply(sqrt(divide(72, 2)), 2)","divide(n1,n0)|sqrt(#0)|multiply(n0,#1)|",general
a brick measures 20 cm * 10 cm * 7.5 cm how many bricks will be required for a wall 27 m * 2 m * 0.75 m ?,27 * 2 * 0.75 = 20 / 100 * 10 / 100 * 7.5 / 100 * x 27 = 1 / 100 * x = > x = 27000 answer : e,"a ) 29798 , b ) 27908 , c ) 78902 , d ) 25000 , e ) 27000",e,"divide(divide(divide(multiply(multiply(multiply(27, const_100), multiply(2, const_100)), multiply(0.75, const_100)), 20), 10), 7.5)","multiply(n3,const_100)|multiply(n4,const_100)|multiply(n5,const_100)|multiply(#0,#1)|multiply(#3,#2)|divide(#4,n0)|divide(#5,n1)|divide(#6,n2)",physics
"one - fourth of the workers in palabras bookstore have read the latest book by j . saramago , and 5 / 8 of the workers have read the latest book by h . kureishi . the number of workers that have read neither book is one less than the number of the workers that have read the latest saramago book and have not read the latest kureishi book . if there are 72 workers in the palabras bookstore , how many of them have read both books ?","""there are total 72 workers . one - fourth of the workers in palabras bookstore have read the latest book by j . saramago , so 18 have read saramago . 5 / 8 of the workers have read the latest book by h . kureishi . so ( 5 / 8 ) * 72 = 45 have read kureishi the number of workers that have read neither book is one less than the number of the workers that have read the latest saramago book and have not read the latest kureishi book if b workers have read both books , 18 - b have read saramago but not kureishi . so , ( 18 - b - 1 ) have read neither . total = n ( a ) + n ( b ) - both + neither 72 = 18 + 45 - b + ( 18 - b - 1 ) b = 4 answer ( e )""","a ) 13 , b ) 12 , c ) 9 , d ) 8 , e ) 4",e,"divide(subtract(subtract(add(add(divide(72, const_4), divide(72, const_4)), multiply(divide(72, 8), 5)), 72), const_1), const_2)","divide(n2,const_4)|divide(n2,n1)|add(#0,#0)|multiply(n0,#1)|add(#2,#3)|subtract(#4,n2)|subtract(#5,const_1)|divide(#6,const_2)|",general
"in traveling from a dormitory to a certain city , a student went 1 / 4 of the way by foot , 1 / 2 of the way by bus , and the remaining 10 kilometers by car . what is the distance , in kilometers , from the dormitory to the city ?","""whole trip = distance by foot + distance by bus + distance by car x = 1 / 4 x + 1 / 2 x + 10 x - 1 / 4 x - 1 / 2 x = 10 x = 40 km option : e""","a ) 10 , b ) 45 , c ) 30 , d ) 20 , e ) 40",e,"multiply(10, inverse(subtract(1, add(divide(1, 4), divide(1, 2)))))","divide(n0,n1)|divide(n2,n3)|add(#0,#1)|subtract(n0,#2)|inverse(#3)|multiply(n4,#4)|",physics
"if ( 1 / 5 ) ^ m * ( 1 / 4 ) ^ 4 = 1 / ( 16 * ( 10 ) ^ 4 ) , then m =","""( 1 / 5 ) ^ m ( 1 / 4 ) ^ 4 = 1 / { 16 ( 10 ) ^ 4 } 16 ( 10 ) ^ 4 / 4 ^ 4 = 5 ^ m [ 16 ( 2 ^ 4 ) ( 5 ^ 4 ) ] / [ 2 ^ 8 ] = 5 ^ m 5 ^ 4 = 5 ^ m m = 4 d""","a ) 3 , b ) 2 , c ) 1 , d ) 4 , e ) 8",d,"subtract(add(multiply(divide(1, 4), 16), multiply(divide(1, 5), 16)), divide(5, 16))","divide(n0,n3)|divide(n0,n1)|divide(n1,n6)|multiply(n6,#0)|multiply(n6,#1)|add(#3,#4)|subtract(#5,#2)|",general
"in the faculty of reverse - engineering , 220 second year students study numeric methods , 423 second year students study automatic control of airborne vehicles and 134 second year students study them both . how many students are there in the faculty if the second year students are approximately 80 % of the total ?","answer is e : 636 solution : total number of students studying both are 423 + 220 - 134 = 509 ( subtracting the 134 since they were included in the both the other numbers already ) . so 80 % of total is 509 , so 100 % is approx . 636 .","a ) 515 . , b ) 545 . , c ) 618 . , d ) 644 . , e ) 636 .",e,"add(220, 423)","add(n0,n1)",general
what would be the minimum number of pumps required to fill a tank of 1000 m 3 to 85 % in one hour ? the capacity of the pump is 150 m 3 / hour and operates at an efficiency of 75 % .,volume handled by pump in one hour = 150 x . 75 = 112.5 volume of the tank that needs to be filled = 1000 x . 85 = 850 number of pumps needed = 850 / 112.5 = 7.55 â ‰ ˆ 8 answer : b,"a ) 6 , b ) 8 , c ) 10 , d ) 11 , e ) 12",b,"floor(add(divide(divide(multiply(1000, 85), const_100), divide(multiply(150, 75), const_100)), const_1))","multiply(n0,n2)|multiply(n3,n5)|divide(#0,const_100)|divide(#1,const_100)|divide(#2,#3)|add(#4,const_1)|floor(#5)",physics
"of the land owned by a farmer , 90 percent was cleared for planting . of the cleared land , 60 percent was planted with grapes and 30 percent of the cleared land was planted with potato . if the remaining 360 acres of cleared land was planted with tomato , how many acres did the farmer own ?","60 % of 90 % = 54 % , 30 % 0 f 90 % = 27 % so the remaining 90 - 54 - 27 = 9 % = 360 acres or 10 % of 90 % = 9 % - - > 360 / 9 * 100 = 4000 acres answer ( c )","a ) 3250 , b ) 3450 , c ) 4000 , d ) 3750 , e ) 3800",c,"divide(360, multiply(divide(subtract(subtract(const_100, 60), 30), const_100), divide(90, const_100)))","divide(n0,const_100)|subtract(const_100,n1)|subtract(#1,n2)|divide(#2,const_100)|multiply(#3,#0)|divide(n3,#4)|",gain
"the ratio of investments of two partners p and q is 7 : 5 and the ratio of their profits is 7 : 10 . if p invested the money for 8 months , find for how much time did q invest the money ?","""7 * 5 : 8 * x = 7 : 10 x = 16 answer : d""","a ) 11 , b ) 10 , c ) 18 , d ) 16 , e ) 12",d,"multiply(multiply(divide(7, 5), divide(10, 7)), 8)","divide(n0,n1)|divide(n3,n2)|multiply(#0,#1)|multiply(n4,#2)|",gain
"a monkey ascends a greased pole 12 metres high . he ascends 2 metres in first minute and slips down 1 metre in the alternate minute . in which minute , he reaches the top ?","in 2 minutes , he ascends = 1 metre ∴ 10 metres , he ascends in 20 minutes . ∴ he reaches the top in 21 st minute . answer b","a ) 21 st , b ) 22 nd , c ) 23 rd , d ) 24 th , e ) none of these",b,"subtract(multiply(2, 12), 1)","multiply(n0,n1)|subtract(#0,n2)",physics
